TXNAME	R1_H1975	R2_H1975	R3_H1975	R1_HCC827	R2_HCC827	R3_HCC827
ENST00000525310	0	1	0	0	0	0
ENST00000525314	70	76	67	85	39	122
ENST00000525317	14	17	17	2	2	4
ENST00000525319	1	7	4	0	0	1
ENST00000525330	4	4	1	0	0	0
ENST00000525332	1	0	0	0	0	0
ENST00000525340	1398.10535	0.00028	1201.00444	3501.33254	4020.65798	2023.19155
ENST00000525354	37	40	34	7	4	6
ENST00000525356	4.95219	2.18324	10.83694	0.44906	4.84595	0.67472
ENST00000525364	0	0	0	1	0	0
ENST00000525365	109	69	78	7	0	5
ENST00000525372	0	3	0	0	0	0
ENST00000525374	3	1	0	1	0	0
ENST00000525385	0	0	0	1	0	0
ENST00000525386	0	1	0	0	0	0
ENST00000525391	1	2	0	4	0	0
ENST00000525402	1.31837	0.85587	0	1.09012	0	0.18666
ENST00000525404	2	3	1	0	0	0
ENST00000525414	0	0	0	2	1	1
ENST00000525421	0	0	1	0	0	0
ENST00000525422	2	1	0	0	0	0
ENST00000525423	0	0	0	0	1	0
ENST00000525428	1175.32799	2418.56806	802.1894	354.62829	87.15326	1236.48638
ENST00000525435	1.59359	0.51978	1.45097	1.91637	0	0
ENST00000525437	0	0	0	0	0	1
ENST00000525440	5	7	11	4	1	1
ENST00000525443	0	0	0	0	0	0.03392
ENST00000525445	82	170	115	52	36	89
ENST00000525455	86	94	67	69	47	74
ENST00000525457	1	2	3	2	0	2
ENST00000525459	12.58015	34	28	51	15	33
ENST00000525484	0	3	3	0	0	0
ENST00000525501	33	19	8	95	109	65
ENST00000525502	1	0	0	0	0	0
ENST00000525503	407	424	353	226	85	205
ENST00000525504	0	0	0.60514	0.99999	0	2.82216
ENST00000525509	78	73	66	65	53	68
ENST00000525511	3	2	3	0	0	0
ENST00000525515	4	0	0	0	0	0
ENST00000525528	0	2	3	2	0	2
ENST00000525531	2	3	6	0	0	0
ENST00000525538	0.88801	0	0	0.7457	0	0
ENST00000525543	0.87377	7.29421	5.347	0.30435	0.99249	4.37423
ENST00000525547	0	0	0.13747	0.3126	0	0
ENST00000525550	3	0	0	0	0	0
ENST00000525554	0	0	5	0	0	0
ENST00000525566	1	1	1	0	0	0
ENST00000525571	1	0	1	0	0	1
ENST00000525574	3	6	6	1	0	0
ENST00000525579	0	0	1	0	0	0
ENST00000525580	4	3	5	0	0	1
ENST00000525584	0	0	1	2	0	0
ENST00000525587	0	0	0	0	0	3.75712
ENST00000525588	0	4	4	0	0	3
ENST00000525592	12	13	12	2	1	4
ENST00000525607	0	0	1	2	1	0
ENST00000525613	0	0	0	4.27433	9.31589	0
ENST00000525619	0	0	0.53835	1.41487	3.78676	0
ENST00000525621	16	18	29	7	6	16
ENST00000525628	1	1	1	0	0	0
ENST00000525634	85862.02405	73209.81446	74372.32524	122886.42261	77731.21885	79110.43153
ENST00000525640	2	0	0	0	0	0
ENST00000525643	0	0	0	0	0	4.49785
ENST00000525645	0	0	5	0	0	0
ENST00000525653	0	4.55229	0	3.31918	0	0
ENST00000525657	2	0	0	0	0	0
ENST00000525660	1	10	5	1	0	2
ENST00000525665	38	34	30	9	2	9
ENST00000525672	2	4	1	4	3	5
ENST00000525675	0	0	0.03127	0	0	0
ENST00000525680	30	27	22	20	5	13
ENST00000525681	0.03598	0.01665	0.04903	0.31331	0.69992	0.43917
ENST00000525684	24.80805	30.32262	31.82237	17.69882	0	13.05648
ENST00000525688	0	2	0	0	0	0
ENST00000525690	0	1	0	0	0	0
ENST00000525693	0.68232	0.28886	0.43612	1.17377	2.45276	0.91427
ENST00000525694	0	1	0	0	0	0
ENST00000525696	1	9	8	8	0	5
ENST00000525702	0.23249	0	0	0	0	0
ENST00000525711	1	1	0	0	0	0
ENST00000525717	3	8	12	8	4	12
ENST00000525735	1	3	0	0	0	1
ENST00000525736	0.04643	0.14794	0.02058	0.30994	0.09294	0
ENST00000525744	0	0	1.00023	0	0.43739	0.40652
ENST00000525751	0	0	0	0.93377	0	0
ENST00000525754	3.57637	0.16409	0	2.66227	0	1.3634
ENST00000525757	0	2	1	0	0	0
ENST00000525761	0	1	0	1	0	0
ENST00000525763	4	4	2	0	0	0
ENST00000525767	1	0	0	0	0	1
ENST00000525771	0.5178	19	28	22	22	29
ENST00000525774	0	0	1	0	0	0
ENST00000525783	7	7	10	2	1	5
ENST00000525785	1	2	3	5	5	1
ENST00000525791	0	0	0.58792	1	0	0
ENST00000525795	4	6	3	5	4	5
ENST00000525803	12	1	10	1	2	1
ENST00000525807	0.05818	0.03877	0	0	0	0
ENST00000525811	16	15	14	13	0.85258	5
ENST00000525815	33.61122	20.96367	16.59035	5.6308	8.93809	4.47043
ENST00000525823	0	0.00083	1	1	0	0
ENST00000525828	18.67484	2.36351	34.74258	5.03695	2.01433	17.1595
ENST00000525831	0	0	0	1	0	0
ENST00000525836	0	0	0	122	66	126
ENST00000525842	3	2	1	1	0	2
ENST00000525851	0.06318	0.49387	1.14871	0	0	0
ENST00000525858	0	0	0	0	2	0.3812
ENST00000525863	0	0	0	0	0	1
ENST00000525876	0.45343	0.19277	0.3357	0.10762	0.88972	0.44005
ENST00000525888	3	2	0	3.96199	12.9521	2.92111
ENST00000525895	108	110	107	104	55	115
ENST00000525899	90	89	79	42	26	49
ENST00000525900	27	20	20	61	41	52
ENST00000525911	1	0	0	0	0	0
ENST00000525920	0	1	0	0	3	0
ENST00000525924	0	3	2	2	1	1
ENST00000525925	2	0	0	0	1	0
ENST00000525928	202.05859	199	140.9841	3.43517	102	85.11204
ENST00000525929	16	9	8	0	0	0
ENST00000525933	0	0	0	1	1	0
ENST00000525934	2	0	0	0	0	0
ENST00000525936	0	3	1	0	0	3
ENST00000525941	27	24	12	23	9	3
ENST00000525946	0	0	0	0	41.40068	0
ENST00000525947	2	1	2	0	0	1
ENST00000525954	0.023	56	30	0.04036	64	0
ENST00000525963	3	1	0	0	0	0
ENST00000525972	1	0	0	0	0	0
ENST00000525981	49	37	24	46	27	33
ENST00000525992	0	3	2	0	0	1
ENST00000526007	0	5.40953	0	6.22546	19.33979	7.01084
ENST00000526010	0	0	1	0	0	0
ENST00000526014	1	0	0	0	0	2
ENST00000526015	0	0	0	1	0	1
ENST00000526020	0.10467	0.30236	0	0	0	0.19426
ENST00000526025	0	0	0.1034	0	0	0
ENST00000526036	24	35	23	15	5	18
ENST00000526042	1	2	2	0	2	1
ENST00000526049	842	1021	861	278	142	269
ENST00000526054	64.45516	0.67878	43.49566	70.47645	131.79001	128.72074
ENST00000526061	0	0	0	2	2	1
ENST00000526063	29	51	25	14	7	10
ENST00000526064	0	2	0	0	0	0
ENST00000526066	0	0	0	0	0	0.70795
ENST00000526068	7	13	7	7	15	12
ENST00000526075	32	26	23	4	5	5.99635
ENST00000526087	0	0	0	0	1	0
ENST00000526090	20	21	27	223	70	221
ENST00000526091	4	0	0	0	0	0
ENST00000526096	0	0	0	2	4	3
ENST00000526099	0	0	0	1	0	1
ENST00000526104	105.17452	158.88459	138.2078	80.78608	96.03659	28.80409
ENST00000526109	0	1	2	0	0	1
ENST00000526112	1	0	0	0	0	0
ENST00000526115	4	2	5	0	0	0
ENST00000526123	3	7	3	6	3	6
ENST00000526130	2	2	0	0	0	1
ENST00000526137	0	2	0	0	0	0
ENST00000526144	0	1	0	0	0	0
ENST00000526145	1	0	1	0	1	1
ENST00000526149	0	0	9e-05	0.00024	11.11511	33.06384
ENST00000526150	0	0	0	0	2	0
ENST00000526164	1	0	13	1	10	7
ENST00000526167	0	0	0	0	0	2
ENST00000526174	0	5	0	0	0	0
ENST00000526175	1	0	0	0	0	1
ENST00000526178	0	0	0	0	0	1
ENST00000526182	1	0	0	0	0	0
ENST00000526184	3	1	4	2	4	0
ENST00000526185	0	0	0.00893	0	0.02047	0.00587
ENST00000526194	0	0	1	0	0	0
ENST00000526195	2	2	0	0	1	0
ENST00000526196	25	28	26	32	9	29
ENST00000526203	0	0	0	1	0	0
ENST00000526214	42	23	22	32	43	16
ENST00000526216	6	8	7	3	2	8
ENST00000526217	2	0	0	8	4	0
ENST00000526219	2	0	0	0	1	0
ENST00000526222	4	2	2	0	1	1
ENST00000526232	0	0	1	3	3	0
ENST00000526234	0.04485	0	0	0.5039	0.05233	0
ENST00000526236	1	0	0	0	0	0
ENST00000526241	1	0	0	0	0	0
ENST00000526248	0	17	18	29	26	24
ENST00000526255	2	0	0	0	0	0
ENST00000526275	0.73174	0.37994	0	10.33834	15.12488	1.79485
ENST00000526280	1	3	0	0	1	1
ENST00000526288	0.84529	0	11	0	0	5
ENST00000526292	0	0	1	0	0	0
ENST00000526296	0	4	2	0	0	0
ENST00000526299	0	0	1	0	0	0
ENST00000526303	0	0.24944	0	0	0	0
ENST00000526308	3	1	2	0	1	0
ENST00000526309	0.0201	0.12113	6	0	0	0
ENST00000526325	3	3	7	12	9	12
ENST00000526330	0	1	0	0	1	0
ENST00000526334	0	0	0	0	0	1
ENST00000526337	7	10	9	5	0	2
ENST00000526338	0	0	0	0	0	4.5
ENST00000526339	255	371	370	94	81	83
ENST00000526341	0	0	0	4	0	0
ENST00000526343	0	3	0	1	0	0
ENST00000526349	4	2	0	2	0	1
ENST00000526354	0	11.90419	8.23248	0	0	0
ENST00000526361	451	371	383	152	82	110
ENST00000526368	0	2e-05	0	0	3e-05	0
ENST00000526372	6	7	20	0	0	0
ENST00000526374	15	12	7	9	3	6
ENST00000526393	3	0	0.13613	0	0	0
ENST00000526406	0	0	4	0	0	1
ENST00000526415	1088.99999	971	893.99999	443.99999	331	378
ENST00000526422	0	31.49258	46.77667	42.80168	37.89058	0
ENST00000526425	0	0	0.94831	0	0	0
ENST00000526429	3	5	7	1	3	3
ENST00000526430	4	0	3	1	3	4
ENST00000526432	0	0	2	1	1	1
ENST00000526433	0	2	0	0	0	3
ENST00000526446	23	36	65	25	11	31
ENST00000526451	87	88	75	57	41	61
ENST00000526453	12	11	9	1	1	3
ENST00000526461	0	0	2.4199	0	3	0
ENST00000526462	13	9	12	4	2	5
ENST00000526463	0	0	0	0	0	1
ENST00000526464	0	0.73162	0.38911	0	0	0
ENST00000526466	1	0	0	0	0	0
ENST00000526482	0.07167	0	0.36425	0	0	0
ENST00000526487	4	4	1	5	0	1
ENST00000526496	0	2	0	0	0	0
ENST00000526507	11	3	3	0	0	0
ENST00000526510	7	9	7	5	1	2
ENST00000526512	1	1	1	0	0	1
ENST00000526521	0	0	0	0	1	0
ENST00000526522	55.44277	18.6737	27.43157	23.08696	24.27844	15.27351
ENST00000526530	1	1	0	0	0	0
ENST00000526531	0	1e-05	0	0	0	0
ENST00000526549	0	4	0	5	1	3
ENST00000526551	0	0	1	0	0	0
ENST00000526560	2	1	5	1	0	0
ENST00000526561	0	0	0	0	0	1
ENST00000526562	2	3	0	1	0	0
ENST00000526567	5.89437	7	0.9401	0	1	3
ENST00000526568	0	0	0	0	0	1
ENST00000526579	1	0	1	0	0	0
ENST00000526580	13	18	12	17	16	12
ENST00000526585	0	1.15511	2.82159	0	1	5.17271
ENST00000526586	13	12	7	0.05902	0.09032	23
ENST00000526588	0	0	0.03657	0	0	0
ENST00000526592	2	7	6	7	0	7
ENST00000526594	0	0	0	2	6	1
ENST00000526596	0	0	1	0	0	0
ENST00000526601	21	34	36	6	7	6
ENST00000526605	0	0	0	0	0	2
ENST00000526611	1	0	0	0	0	0
ENST00000526612	6	3	0	0	0	0
ENST00000526623	31	41	29	6	3	7
ENST00000526627	200.5	405.99999	1e-05	23	15	0
ENST00000526629	0	0	0.53671	0	0	0
ENST00000526634	5	2e-05	2	0	0	0
ENST00000526639	404	419	403	742	541	749
ENST00000526640	194	213	173	108	65	113
ENST00000526641	5	5	6	0	0	0
ENST00000526650	0	1.4335	0	1.54423	0	0
ENST00000526659	0.09675	0	0	0.4938	0	0
ENST00000526668	0.63864	0.79503	0.28691	0.85481	0.44264	0.49551
ENST00000526683	227.11545	279.32451	223.94837	288.9561	238.9881	435.93904
ENST00000526685	0	0	1	0	0	0
ENST00000526691	20	24	20	14	6	9
ENST00000526694	6	0	0.73687	4	3	1
ENST00000526710	2	0	1	8	3	6
ENST00000526711	0.5	2	1	16	7.5	17
ENST00000526715	0	0	1	0	0	0
ENST00000526721	2	1	10	17	4	21
ENST00000526725	0	0	0	0	1	1
ENST00000526727	0	0	4	12	8	8
ENST00000526730	1	0	0	1	0	2
ENST00000526731	0	6	2	0	1	1
ENST00000526734	0.02282	0	0	0	0	0
ENST00000526737	0.11416	0.03582	0.17898	0	0	0
ENST00000526748	0	1	0	0	0	0
ENST00000526752	0	2	0	3	3	6
ENST00000526754	6	4	4	1	0	0
ENST00000526770	1	1	0	0	0	1
ENST00000526772	1	0	0	0	0	0
ENST00000526774	0.01359	0	0	0	0	0
ENST00000526776	95	84	82	9	7	4
ENST00000526779	0	0	1	1	1	0
ENST00000526781	11.82957	25.63271	24.61469	3.14636	2	4.54716
ENST00000526783	1	0	0	0	0	0
ENST00000526785	0.14205	0.01638	0.73142	0	0	0
ENST00000526787	0	0	1	0	0	0
ENST00000526791	0	0.8895	1	0	7	0.89122
ENST00000526793	66	28	49	9	10	7
ENST00000526795	0	1	0	0	0	0
ENST00000526811	2	1	0	1	0	0
ENST00000526817	5	7	3	3	1	1
ENST00000526821	0	0	0	0.6752	0	0
ENST00000526822	130	76	114	18	15	20
ENST00000526827	2	1	4	0	2	0
ENST00000526838	256	216	223	226	142	212
ENST00000526843	2	0	0	0	1	0
ENST00000526846	0	0	0	0	1	0
ENST00000526849	0	3	0	0	0	0
ENST00000526857	9	10	7	21	11	10
ENST00000526870	10	14	12	5.5	4	3.5
ENST00000526877	1	0	2	9	5	6
ENST00000526878	0	0	2	0	0	1
ENST00000526879	13	12	9	3	2	2
ENST00000526887	0	0	0	0	4	1
ENST00000526888	0	0	1	1	0	0
ENST00000526892	1	0	0	1	0	0
ENST00000526894	3	0	0	0	0	0
ENST00000526895	4.15607	2.84284	4.26155	1.79767	8.73712	0.5569
ENST00000526897	0	0.73885	0	0	0	0
ENST00000526900	0	0	1	12	4.21402	6
ENST00000526924	0	0	0	1	0	0
ENST00000526926	10	12	10	7	3	8
ENST00000526944	0	0	0	0.13215	0	0
ENST00000526950	0	1	0	0	0	0
ENST00000526986	2	0	0	0	0	0
ENST00000526990	0	0	2	1	0	0
ENST00000526991	1155	213	1006	1112	500	180
ENST00000526993	1	0	0	0	0	0
ENST00000526995	26.68782	37.84215	28	26	4	21
ENST00000526997	8	6	14	10	1	2
ENST00000527005	0	0	0	0	4	0
ENST00000527009	0	0.07776	0	0	0.02564	0.05584
ENST00000527018	0.00721	0	0	5	0	0
ENST00000527020	0	0	0	4	3	5
ENST00000527022	7	6	9	1	1	5
ENST00000527025	0	1	1	0	0	0
ENST00000527043	1	1	0	0	0	2
ENST00000527045	8	7	8.96418	39.85147	16.93175	23
ENST00000527046	8	3.92704	6e-05	5	5e-05	4
ENST00000527047	0	0	1	0	0	0
ENST00000527073	3	9	5	1	1	3
ENST00000527076	0	0	0	2	0	0
ENST00000527077	1	0	0	0	0	0
ENST00000527078	16	21	28	17	15	30
ENST00000527081	0	0	0	3.1311	28.00362	0
ENST00000527085	22	21	16	24	18	7
ENST00000527090	1	1	0	0	0	0
ENST00000527092	61	72	67	43	31	44
ENST00000527099	1	2.5	0	1.5	0	1
ENST00000527103	0	0	0	0	0	1
ENST00000527108	56	64	73	27	13	27
ENST00000527115	2	7	1	3	1	3
ENST00000527119	1	0	0	0	1	0
ENST00000527137	0.06405	0.10755	8	0	0	0.19392
ENST00000527144	1	1	1	0	0	2
ENST00000527146	20	40	57	1	0	0
ENST00000527149	1	0	1	0	0	0
ENST00000527154	0	0	1e-05	0	0	0
ENST00000527156	0	1.30018	0	0	0	0
ENST00000527158	12	15	12	15	7	10
ENST00000527168	17	17	13	1	0	3
ENST00000527171	0	0	0	1	0	0
ENST00000527174	0	0	0	0	0	1
ENST00000527175	387	352	380	68	49	63
ENST00000527184	3	0	1	0	0	0
ENST00000527186	185.47078	122.97147	187.47564	229.6461	302.24118	237.60151
ENST00000527196	0	1	1	0	0	0
ENST00000527197	211	222	165	291	153	337
ENST00000527204	2	2	0	0	2	2
ENST00000527207	1.60155	1	0.52503	0	0	0.76699
ENST00000527209	1	0	2	0	0	0
ENST00000527215	1	0	1	0	0	0
ENST00000527216	1	0	0	0	0	0
ENST00000527217	0	0	0	0	0	1
ENST00000527218	2.5	0	3	0	0.5	0
ENST00000527220	92	104	106	22	20	23
ENST00000527222	0	1	0	0	0	0
ENST00000527225	66	52	59	42	20	22
ENST00000527226	0	1	1	3	0	3
ENST00000527227	0	0.89409	0	0	0	0
ENST00000527231	0	0	0	0	0	0.00719
ENST00000527234	0	0	0	2	0	0
ENST00000527235	11	7	6	3	2	8
ENST00000527243	5	5	5	5	0	2
ENST00000527248	2	3	0	1	0	0
ENST00000527249	0	1e-05	93.0864	0	41.17112	0
ENST00000527251	0.6314	0	0	0	0	0
ENST00000527256	0	0	0	1	0	0
ENST00000527257	0	1.51748	0	0	0.50489	0
ENST00000527271	1.31366	0	0	0	1.19563	0
ENST00000527274	58	57	45	18	11	13
ENST00000527284	1	0	0	0	0	0
ENST00000527286	2	4	6	6	2	5
ENST00000527301	0	1	0	0	4	0
ENST00000527304	0	0	0	0	2	0
ENST00000527306	0	1	2	0	0	0
ENST00000527309	1	0	0	0	0	1
ENST00000527313	0	0	0	1	0	0
ENST00000527321	0	2.66111	0.77651	0	0	0.82943
ENST00000527328	0	1	0	0	0	0
ENST00000527331	2	2	0	1	0	2
ENST00000527334	0	1	0	0	0	0
ENST00000527344	17	35	40	23	15	14
ENST00000527348	103	104	104	0	0	0
ENST00000527355	4	0	2	0	1	2
ENST00000527356	0.86411	3.85953	0.92893	3	0	0.6372
ENST00000527359	1	0	0	2	0	0
ENST00000527366	1	8	0	13	4	3
ENST00000527374	0	0	0	1	0	0
ENST00000527375	0	1	2	3	0	0
ENST00000527376	1	1	1	1	0	0
ENST00000527397	6	0	1	1	2	2
ENST00000527398	0	0	3	0	0	0
ENST00000527406	0	1	0	0	0	0
ENST00000527413	87	0	0	0	0	0
ENST00000527418	0	0.47766	0	0	0	0
ENST00000527424	96	97	96	84	32	83
ENST00000527427	1	0	0	1	0	0
ENST00000527430	2	3	2	4	3	5
ENST00000527434	5	2	2	2	8	4
ENST00000527435	206	248	175	267	224	216
ENST00000527436	4.99417	8.02789	6.94014	13.93436	6.46859	7.88208
ENST00000527444	0.02023	0	0	0	0	0
ENST00000527446	175	158	119	181	112	187
ENST00000527447	11	4	35.35143	19.87501	6.5	3
ENST00000527454	0	0	0	0	1	1
ENST00000527461	4	3	6	1	0	0
ENST00000527470	0	0	0	0	6.5397	0
ENST00000527472	1	1	0	1	0	1
ENST00000527478	1	1	0	0.5039	0	0
ENST00000527480	0	0	0	0	0	3
ENST00000527481	0	0	1	0	1	0
ENST00000527483	24	14	14	26	20	19
ENST00000527487	1	0	0	0	0	0
ENST00000527490	3.04982	3.85926	0.34589	0	0	0
ENST00000527494	1	0	0	2	1	2
ENST00000527501	0	0	0	0	1	0
ENST00000527503	0	0	0	0	3.00043	0
ENST00000527512	1	0	1	1	1	1
ENST00000527514	1	0	4	1	0	6
ENST00000527521	0	1	1	0	1	0
ENST00000527522	18.81824	20.11637	16.48933	7.1686	1.68914	7
ENST00000527527	1	0	0	0	0	0
ENST00000527529	3	2	0	1	0	0
ENST00000527536	1	4	1	0	0	0
ENST00000527537	1.7976	1.24295	0.12892	0	0	0.78112
ENST00000527543	0	5	0	4	0	3
ENST00000527557	0	0	0	0.5	0	0
ENST00000527564	235.1132	212.83272	222.50808	196	167.32758	176
ENST00000527570	0	1	0	1	0	0
ENST00000527571	0	0	0	0	0	0.56312
ENST00000527573	0.5	0.5	0	1	0	0.5
ENST00000527576	2	3	4	1	1	1
ENST00000527577	0	3.97237	0	0	0	2.88743
ENST00000527580	3	1	2	0	0	1
ENST00000527583	0	0	1	0	0	0
ENST00000527599	0	0	0	2	0.17047	0
ENST00000527601	1	0	0	0	2	0
ENST00000527607	0	0	0	0.93615	0	0
ENST00000527609	477	438	415	364	292	163
ENST00000527610	0	1e-05	0	0	0	0.06581
ENST00000527611	0	1	0	0	0	0
ENST00000527614	76	90	69	60	26	62
ENST00000527620	3	0	1	0.77703	0	2
ENST00000527624	0	0	1	0	0	0
ENST00000527627	0	0	0	0	0	2
ENST00000527629	0	1	1	0	1	1
ENST00000527633	15	10.14718	21.30752	8.21447	0	3
ENST00000527634	2	1	2	1	0	0
ENST00000527636	0	0	0	0	1	1
ENST00000527637	2.63949	1.79992	0.89112	0	0	0
ENST00000527658	3	2	2	0	3	0
ENST00000527663	1	0	1	0	0	0
ENST00000527673	71666.31298	57495.3419	59639.33172	73941.14575	43639.17626	63078.3007
ENST00000527677	1.87548	0	1e-05	0	13.17485	0
ENST00000527680	0	7.40315	6.45703	0	1.76055	0
ENST00000527696	23.74208	13.03639	21.69522	26.55549	24.24347	13.99531
ENST00000527699	0	0	1	0	0	0
ENST00000527702	8	1	1	1	0	0
ENST00000527703	0	1	0	0	0	0
ENST00000527707	0	0	0	1	0	1
ENST00000527709	0	0	0	0	1	0
ENST00000527711	45	51	50	81	29	63
ENST00000527715	1	0	0	0	0	0
ENST00000527718	0	0	0	0	1	1
ENST00000527726	16	6	10	32	11	13
ENST00000527729	1	2	0	33	12	22
ENST00000527731	1	1	0	0	0	0
ENST00000527733	0.37771	0.44339	0.25637	2	0	0
ENST00000527735	1	0	0	0	0	0
ENST00000527741	0	0	0	0	8e-05	0.35161
ENST00000527744	0	1.05199	0	1e-05	1e-05	1e-05
ENST00000527762	0	0	1	0	0	0
ENST00000527766	0	1	0	0	0	0
ENST00000527772	1	0	0	0	0	0
ENST00000527784	2	6	4	4	5	9
ENST00000527791	1340	1004	1008	456	242	364
ENST00000527793	1	0	0	0	0	0
ENST00000527800	0	5	0.05007	0	3	1
ENST00000527803	0	5	0.96203	2	3	1
ENST00000527806	1	0	0	1	0	0
ENST00000527808	1	6	5	0	0	0
ENST00000527811	1	1	0	0	0	1
ENST00000527813	0	0	2	1	0	0
ENST00000527822	53	51	77	23	13	19
ENST00000527826	0	0	0	0	0.41133	0
ENST00000527830	28	28	35	0	0	0
ENST00000527832	9	8	1.5914	19	51	22.47085
ENST00000527838	0	2	0	0	0	0
ENST00000527861	0	0	0.22305	0	0	0
ENST00000527862	0	0.50401	0	8e-04	0	0
ENST00000527868	0	0	1	0	0	0
ENST00000527871	6	11	17	1	1	3
ENST00000527881	0	0.96254	0	0	0	0
ENST00000527884	2	1	2	3	0	1
ENST00000527895	0	0	0	1	0	0
ENST00000527902	1	2	0	2	0	1
ENST00000527904	0	0	1	0	0	0
ENST00000527914	7	5	2	3	3	6
ENST00000527915	0.08766	0.00863	0.02895	0	0	0
ENST00000527920	0	1	0	0	0	0
ENST00000527926	2	3	3	0	2	0
ENST00000527927	1	0	0	0	0	0
ENST00000527938	3	0	0	0	0	0
ENST00000527947	0	0	0	0.04646	0	0
ENST00000527958	161	203	181	50	36	70
ENST00000527968	1	0	1	0	0	0
ENST00000527977	0	1	0	0	0	0
ENST00000527981	0	0.02257	0	0	0	0
ENST00000527982	18.39492	13.54766	4.08085	20.81879	65.08302	10.19661
ENST00000527983	0	0	0	0.37792	0	0
ENST00000527985	1	0	0	1	0	0
ENST00000527986	149	165	158	41	24	62
ENST00000527992	62	47	42	71	46	77
ENST00000527997	0	0	4	0	0	0
ENST00000528004	1	1	2	1	1	0
ENST00000528010	11	12	10	12	6	8
ENST00000528011	20	29	20	20	12	19
ENST00000528013	4	0	0	1	4	3
ENST00000528014	0	0	0	1	0	0
ENST00000528017	0	0.36521	0	0.21668	0.5949	0.11952
ENST00000528019	5	2	2	0	0	0
ENST00000528020	38	22	25	13	0	5
ENST00000528021	20	15	8	6	16	11
ENST00000528023	3	0	0	0	0	0
ENST00000528029	4	12	3	3	30	11
ENST00000528032	0	0	0	2	0	0
ENST00000528036	2	5	3	1	1	6
ENST00000528039	0	0	0	0	1	0
ENST00000528047	1	0	4	1	1	1
ENST00000528048	43	31	40	32	22	17
ENST00000528054	0	0	0	1	0	0
ENST00000528057	2	10	5	3	2	2
ENST00000528059	3	1	10	6	2	2
ENST00000528062	24	24	26	22	3	24
ENST00000528066	1	0	0	0	0	0
ENST00000528071	0.35311	1	0.08077	0	0	0
ENST00000528073	0	2	0	2	0	1
ENST00000528074	0	0	0	6	0	0
ENST00000528075	6	3	4	4	3	3
ENST00000528077	0	1	1	0	0	0
ENST00000528078	1	0	3	0	0	0
ENST00000528080	32.78876	40.89961	24.65321	27.34138	3.71888	10.7388
ENST00000528083	0	1	0	1	0	0
ENST00000528084	1	1	2	8	2	0
ENST00000528085	0	2	4	0	0	0
ENST00000528092	8	19	14	0	1	2
ENST00000528095	604.48164	562.43304	466.66157	601.6672	297.34269	311.98784
ENST00000528097	2.21794	53	36	70.00012	43.71708	45.1837
ENST00000528099	1	0	1	1	1	0
ENST00000528104	0	0	0.02271	0	0	0
ENST00000528105	74	57	66	23	14	13
ENST00000528106	2	0	2	0	2	0
ENST00000528110	12	16	20	6	1	5
ENST00000528113	0	1	0	0	0	0
ENST00000528120	134	149	120	32	19	51
ENST00000528125	223	185	158	137	47	99
ENST00000528135	0	0	0	1	0	0
ENST00000528139	0	0	0	1	0	0
ENST00000528142	0	0	0	0	2	0
ENST00000528156	15.36662	3.83138	11.21852	6.15757	0	3.09219
ENST00000528157	1201	1303	1123	634	485	619
ENST00000528161	0	2	1	5	2	0
ENST00000528162	0	1.5399	0	0	0	0
ENST00000528163	4	4	8	1	1	2
ENST00000528170	0	0	0	1	0	0
ENST00000528176	1	0	0	0	0	0
ENST00000528180	17	10	14	5	1	2
ENST00000528182	69	66	73	54	22	46
ENST00000528192	0	0	1	0	0	0
ENST00000528193	7	2	7	14	3	16
ENST00000528200	26	49	39	48	35	57
ENST00000528203	2	0	0	0	0	0
ENST00000528205	8.20622	1.87029	1.22112	9.90745	1e-05	3.59539
ENST00000528218	6	5	11	4	0	1
ENST00000528219	2	1	0	0	0	1
ENST00000528220	728.85631	750	661.99999	1458.51566	1362.99985	1002
ENST00000528224	1	1	2	0	0	1
ENST00000528230	28	35	21	29	24	21
ENST00000528238	0	2	0	0	0	0
ENST00000528241	0	0	1	0	0	0
ENST00000528245	0	1	0	2	0	2
ENST00000528250	0	7	0	0	0	0
ENST00000528251	0	1	1	0	0	0
ENST00000528259	0	0	1e-05	0	0	0
ENST00000528265	0	0	1	0	0	1
ENST00000528272	0	1	1	0	0	0
ENST00000528287	2	0	0	1	0	1
ENST00000528288	1e-05	14	2.42337	0	0	8
ENST00000528289	1	0	0	0	0	0
ENST00000528296	0	0	0	1	0	2
ENST00000528309	4	1.94425	0	1.97008	0	1
ENST00000528311	0	0	0	0	0	4
ENST00000528314	0	0	0	0.05669	0	0
ENST00000528318	0	0	0	4	1	0
ENST00000528330	28	13	21	1	0	2
ENST00000528337	9	4	11	8	8	4
ENST00000528349	0	0	3	17	12	18
ENST00000528354	27	38	45	11	10	13
ENST00000528355	2	1	1	1	1	0
ENST00000528361	22	18	1.32682	3.83444	2	1.5521
ENST00000528364	73.83146	92	53.99997	14	15.77322	11.99999
ENST00000528366	0	0	2	0	0	0
ENST00000528367	0.68149	0	7.22926	0.23456	0	0
ENST00000528368	0	8	2	0	0	0
ENST00000528377	0	0	0	0	0.00551	0
ENST00000528385	1	0	0	0	0	0
ENST00000528387	20	27	20	11	10	18
ENST00000528389	0	0	1	0	0	0
ENST00000528392	2	0	0	0	0	1
ENST00000528401	0	0	0	0	0	1
ENST00000528402	8	17	9	6	1	0
ENST00000528404	1	0	0	0	0	0
ENST00000528405	1	0	1	0	0	0
