GENEID	R2_HCC827.bam	R3_HCC827.bam	R1_HCC827.bam	R3_H1975.bam	R1_H1975.bam	R2_H1975.bam
BambuGene17658	0	1	0	2	7	5
BambuGene17690	6	3	5	0	0	0
BambuGene17732	53	55	51	37	60	43
BambuGene17869	21	18	26	31	52	21
BambuGene17900	4	12	12	25	35	29
BambuGene17923	156	47	93	108	132	115
BambuGene17932	0	1	0	0	4	1
BambuGene17998	0	2	2	4	3	2
BambuGene18024	1	0	0	3	2	7
BambuGene18058	46	26	57	29	49	38
BambuGene18067	240	205	170	121	114	86
BambuGene18104	41	23	24	9	16	7
BambuGene18122	0	0	0	2	3	12
BambuGene18163	5	5	10	15	13	6
BambuGene18223	13	6	13	9	9	7
BambuGene18241	105	137	168	127	129	122
BambuGene1825	0	0	0	7	5	7
BambuGene18260	3	15	17	0	0	0
BambuGene18334	1	2	4	17	19	18
BambuGene18355	0	0	0	0	3	1
BambuGene18412	8	1	10	224	229	166
BambuGene18428	0	2	9	0	0	0
BambuGene18506	55	83	94	123	175	112
BambuGene1855	1	0	0	4	1	5
BambuGene18601	0	0	0	17	23	19
BambuGene1861	0	0	1	20	15	11
BambuGene18614	130	47	80	79	88	86
BambuGene18624	14	12	22	58	58	37
BambuGene18745	14	4	10	55	60	40
BambuGene18749	31	20	21	23	43	38
BambuGene18765	2	9	7	10	12	6
BambuGene18868	12	3	7	10	5	10
BambuGene19034	4	6	13	8	22	6
BambuGene19043	203	292	357	822	828	817
BambuGene19062	46	13	27	28	41	26
BambuGene19085	2	4	6	12	12	9
BambuGene19150	0	0	2	11	14	7
BambuGene19157	4	11	11	0	7	0
BambuGene1920	21	14	7	1	6	0
BambuGene19256	0	0	0	32	46	29
BambuGene19274	0	0	0	3	0	0
BambuGene19309	0	0	0	3	7	1
BambuGene19325	4	9	13	37	30	44
BambuGene19429	0	0	0	42	32	31
BambuGene19552	9	11	12	1	0	0
BambuGene19595	1	3	3	20	20	14
BambuGene19622	5	6	9	0	2	2
BambuGene19634	1	8	5	15	32	9
BambuGene19659	0	0	0	2	4	3
BambuGene19667	16	5	18	13	19	20
BambuGene19703	16	23	13	21	18	14
BambuGene19709	18	3	13	8	5	10
BambuGene19711	3	5	10	33	27	17
BambuGene19894	6	0	1	0	0	0
BambuGene19896	3	5	8	0	0	2
BambuGene19938	0	1	9	1	2	0
BambuGene19969	547	798	856	5753	5619	5794
BambuGene19987	22	27	40	13	17	16
BambuGene19999	0	0	0	0	5	3
BambuGene20072	1	5	4	8	4	4
BambuGene20127	7	6	5	4	6	6
BambuGene20144	0	0	0	8	6	3
BambuGene20228	43	42	69	45	74	57
BambuGene20249	7	16	5	0	0	0
BambuGene20283	6	3	6	0	0	0
BambuGene2033	0	0	0	6	13	8
BambuGene20339	0	0	0	6	0	1
BambuGene20344	33	59	77	133	140	132
BambuGene20349	67	92	175	0	1	0
BambuGene20397	0	0	0	2	0	0
BambuGene20423	3	24	25	25	37	31
BambuGene2044	56	83	69	2	2	2
BambuGene20441	3	0	2	1	3	1
BambuGene20471	7	2	3	1	4	4
BambuGene20486	0	2	0	25	36	36
BambuGene20521	21	6	13	12	13	9
BambuGene20568	9	3	5	9	9	7
BambuGene20610	0	0	0	21	17	24
BambuGene20624	0	0	0	6	24	16
BambuGene20626	2	2	1	4	4	5
BambuGene20669	10	16	17	0	1	1
BambuGene20682	1	2	2	6	12	9
BambuGene20723	17	17	29	30	51	21
BambuGene20736	0	0	0	62	73	41
BambuGene20749	5	11	16	0	0	0
BambuGene20893	39	61	68	84	85	74
BambuGene20906	0	0	0	16	31	12
BambuGene20910	15	10	11	2	13	7
BambuGene20926	2	0	2	6	3	3
BambuGene20963	6	3	1	0	0	0
BambuGene2105	0	0	0	3	3	6
BambuGene21086	4	5	2	1	0	0
BambuGene21147	9	8	14	25	25	15
BambuGene21160	0	0	0	4	2	4
BambuGene21173	6	1	6	7	9	6
BambuGene21182	0	0	0	3	2	4
BambuGene21234	10	4	8	0	0	0
BambuGene21244	0	5	11	22	25	27
BambuGene21365	0	0	0	9	10	14
BambuGene21382	1	2	0	11	10	6
BambuGene21498	264	95	196	216	170	171
BambuGene21518	0	0	0	9	7	8
BambuGene21549	0	0	0	7	6	6
BambuGene2161	2	5	7	0	0	1
BambuGene21619	5	9	6	7	5	5
BambuGene21645	10	15	18	75	62	80
BambuGene21687	12	33	21	8	9	8
BambuGene21724	4	0	3	9	9	9
BambuGene21737	0	1	8	6	16	12
BambuGene21761	1	3	2	1	1	1
BambuGene2177	5	16	21	0	1	2
BambuGene21780	0	3	1	6	5	1
BambuGene21801	25	43	50	94	65	92
BambuGene21846	11	10	16	1	4	9
BambuGene21957	1	0	6	0	6	5
BambuGene21991	2	1	1	23	31	18
BambuGene22039	20	31	37	66	77	68
BambuGene22056	0	0	0	7	8	3
BambuGene22080	0	0	0	31	19	18
BambuGene22108	3	1	8	2	7	6
BambuGene22148	1	5	7	25	18	21
BambuGene22155	0	0	0	19	39	13
BambuGene22179	1	5	3	6	3	0
BambuGene22183	0	3	1	14	21	9
BambuGene22196	31	28	55	79	96	68
BambuGene22251	22	32	41	97	98	91
BambuGene22267	0	0	0	9	15	5
BambuGene2230	126	140	175	255	263	223
BambuGene22332	53	37	62	19	27	25
BambuGene22427	4	0	2	1	0	0
BambuGene22450	2	0	12	3	3	9
BambuGene22564	1	3	0	25	29	21
BambuGene22579	7	7	12	10	3	6
BambuGene22692	305	289	433	35	67	25
BambuGene22720	0	0	0	101	130	101
BambuGene22726	0	0	1	14	1	7
BambuGene22844	0	1	4	5	3	2
BambuGene22883	0	3	3	16	17	10
BambuGene22887	10	8	11	13	7	16
BambuGene22917	5	5	6	4	5	2
BambuGene22980	1	6	5	9	12	15
BambuGene23024	19	6	7	13	12	1
BambuGene23044	68	37	57	105	203	137
BambuGene23091	5	21	23	13	14	17
BambuGene23103	2	0	0	4	11	3
BambuGene23139	9	14	7	46	49	39
BambuGene23264	2	14	7	15	16	9
BambuGene23363	1	1	0	8	3	7
BambuGene23418	7	2	8	3	5	5
BambuGene23432	16	18	15	42	59	41
BambuGene2345	238	89	143	480	369	439
BambuGene23601	78	92	131	121	141	109
BambuGene23607	0	0	0	28	24	21
BambuGene23635	8	21	28	16	19	12
BambuGene23677	10	14	10	0	0	0
BambuGene23720	1	1	2	4	1	2
BambuGene23779	2	0	1	29	11	18
BambuGene2378	8	6	12	0	0	0
BambuGene23800	2	0	1	3	6	4
BambuGene23804	0	1	0	2	0	5
BambuGene23841	0	0	0	7	7	6
BambuGene23857	0	0	0	5	5	0
BambuGene23872	19	34	49	199	161	113
BambuGene23876	0	1	0	7	11	11
BambuGene23948	11	12	8	0	0	0
BambuGene23972	0	3	11	10	11	7
BambuGene24085	4	1	0	31	48	18
BambuGene24197	152	89	133	100	110	107
BambuGene24205	4	2	1	9	1	3
BambuGene24219	0	0	2	1	4	3
BambuGene24283	200	251	285	207	174	202
BambuGene24351	0	2	2	1	1	1
BambuGene24367	10	11	17	15	31	9
BambuGene24395	1	0	0	4	0	1
BambuGene2444	0	0	0	21	24	12
BambuGene24488	0	0	0	142	211	218
BambuGene24532	48	25	42	2	1	4
BambuGene24535	23	3	23	6	3	2
BambuGene24554	3	0	2	0	0	0
BambuGene24558	4	2	2	0	4	1
BambuGene2462	142	161	189	1279	1479	1305
BambuGene24635	8	1	1	0	1	0
BambuGene24664	7	3	2	28	29	26
BambuGene24668	20	47	43	0	0	0
BambuGene24670	1058	1170	1425	2576	3001	2898
BambuGene24684	0	1	0	193	199	170
BambuGene2472	16	29	38	8	14	11
BambuGene24723	7	8	5	30	34	24
BambuGene24769	0	4	0	0	0	1
BambuGene24846	66	59	81	44	45	39
BambuGene24919	8	5	3	177	217	150
BambuGene24947	11	4	11	4	12	8
BambuGene25095	2	2	1	1	7	2
BambuGene2512	0	0	0	0	0	4
BambuGene25126	2	1	5	22	34	21
BambuGene25225	9	6	4	4	7	4
BambuGene25261	7	16	15	1	5	7
BambuGene25278	3	12	6	49	42	77
BambuGene2528	1	3	1	0	1	0
BambuGene2537	7	8	5	45	45	45
BambuGene25434	58	50	55	76	98	60
BambuGene25456	2	2	4	10	5	4
BambuGene25499	4	12	7	0	0	1
BambuGene25516	1	1	3	3	3	11
BambuGene25528	17	14	51	105	123	120
BambuGene25561	28	8	14	21	18	10
BambuGene25609	50	59	69	150	129	123
BambuGene2563	14	13	8	16	12	8
BambuGene25645	0	2	2	23	34	19
BambuGene25676	1	5	1	0	6	1
BambuGene25750	0	0	0	6	7	5
BambuGene25798	2	7	12	2	0	2
BambuGene25836	27	32	55	2	0	0
BambuGene2597	1	4	10	7	12	5
BambuGene26035	52	88	100	86	104	68
BambuGene2610	0	0	5	0	0	0
BambuGene26108	1	1	2	184	216	138
BambuGene26193	0	0	0	4	5	3
BambuGene26230	0	1	1	1	4	3
BambuGene26352	4	2	0	23	15	17
BambuGene26395	0	0	0	0	2	0
BambuGene26438	0	0	0	1098	1229	1052
BambuGene26459	18	9	23	50	36	51
BambuGene26501	1	1	0	6	15	1
BambuGene26546	0	0	0	11	11	10
BambuGene26574	0	1	2	11	5	5
BambuGene26606	0	1	0	1	5	3
BambuGene26621	2	3	9	5	3	7
BambuGene26630	31	19	31	20	31	32
BambuGene2664	4	2	2	5	8	14
BambuGene26794	6	24	25	76	79	77
BambuGene26821	2	0	3	89	152	110
BambuGene26849	2	7	5	35	94	27
BambuGene26874	0	1	3	6	9	2
BambuGene26955	9	4	8	3	3	3
BambuGene26980	17	20	3	44	24	30
BambuGene26999	44	27	43	87	91	121
BambuGene27017	9	15	20	41	36	24
BambuGene27030	0	0	0	1	8	7
BambuGene27033	0	0	7	8	7	1
BambuGene27062	2	5	2	5	5	4
BambuGene27084	4	5	9	4	13	6
BambuGene27131	0	0	0	6	3	2
BambuGene2714	13	3	7	1	6	3
BambuGene27161	0	0	0	1	6	0
BambuGene27177	3	2	0	15	9	9
BambuGene27195	10	5	14	25	26	17
BambuGene27252	0	0	0	34	26	21
BambuGene27282	9	7	24	1	0	0
BambuGene2730	0	0	1	4	13	2
BambuGene27303	0	0	0	5	13	14
BambuGene27306	0	0	0	2	5	3
BambuGene27317	29	71	82	0	2	0
BambuGene2740	1	1	8	4	11	9
BambuGene27441	12	23	15	0	0	0
BambuGene27453	11	0	9	20	24	10
BambuGene27565	55	50	80	21	42	24
BambuGene27569	16	15	35	16	12	26
BambuGene27571	0	0	0	10	9	8
BambuGene27595	56	58	96	35	48	49
BambuGene27738	5	11	10	2	1	3
BambuGene27757	20	14	12	0	0	0
BambuGene27765	0	0	0	17	15	8
BambuGene27858	2	3	0	0	0	0
BambuGene27873	11	6	6	14	9	11
BambuGene27923	4	4	11	6	15	4
BambuGene27982	0	0	0	148	141	153
BambuGene28003	5	36	27	104	90	84
BambuGene28135	0	0	0	6	0	0
BambuGene28188	1	0	0	238	334	263
BambuGene28240	0	0	1	74	97	69
BambuGene28264	34	27	30	23	35	24
BambuGene28406	4	1	7	0	0	0
BambuGene28533	43	31	69	59	79	52
BambuGene28535	3	1	2	6	2	5
BambuGene2854	6	6	10	9	6	8
BambuGene28574	27	25	37	24	22	24
BambuGene28678	763	349	434	2	2	1
BambuGene28696	3	6	14	18	19	23
BambuGene28755	0	2	3	91	111	99
BambuGene28822	337	153	334	139	193	186
BambuGene28889	1	0	0	19	7	8
BambuGene28901	0	0	0	7	4	5
BambuGene28969	0	1	1	3	0	0
BambuGene28977	1	7	2	0	1	0
BambuGene29070	0	0	0	30	38	52
BambuGene29082	9	11	25	22	39	32
BambuGene29111	73	31	60	58	78	45
BambuGene29115	1	2	0	73	54	50
BambuGene29173	14	8	7	26	27	16
BambuGene29178	2	4	0	0	0	0
BambuGene29214	16	24	41	60	85	71
BambuGene29238	34	41	63	0	0	0
BambuGene29251	0	1	2	12	18	15
BambuGene29275	4	18	33	10	11	19
BambuGene29313	16	58	163	153	13	11
BambuGene29342	25	5	41	15	26	27
BambuGene29370	3	0	2	291	323	361
BambuGene29392	7	7	25	1	0	0
BambuGene29442	239	342	359	529	647	550
BambuGene29444	0	0	0	4	5	5
BambuGene29457	11	51	73	46	59	51
BambuGene29470	8	4	10	74	63	55
BambuGene29536	19	8	9	18	36	17
BambuGene29582	25	28	21	28	22	27
BambuGene29683	44	32	55	39	57	33
BambuGene29696	38	37	69	47	54	46
BambuGene29746	0	0	0	13	17	19
BambuGene29751	1	7	8	0	0	2
BambuGene29771	3	6	2	6	2	0
BambuGene29801	8	5	21	22	23	21
BambuGene29819	2	3	6	2	5	4
BambuGene29824	5	4	5	0	2	2
BambuGene2983	54	41	54	20	31	26
BambuGene29838	1	4	2	0	1	0
BambuGene29840	23	31	44	0	0	0
BambuGene29847	0	0	0	6	4	5
BambuGene2988	3	8	5	40	31	31
BambuGene29919	38	73	51	26	37	51
BambuGene29944	1	2	0	1	0	0
BambuGene29946	0	0	0	4	0	1
BambuGene29958	1	3	0	366	324	347
BambuGene29978	0	0	0	4	4	10
BambuGene29980	0	0	0	12	11	10
BambuGene29986	106	129	150	0	0	0
BambuGene29995	0	0	0	2	4	4
BambuGene30013	136	190	260	166	205	173
BambuGene30022	54	49	51	770	786	855
BambuGene30029	20	34	42	37	56	47
BambuGene30037	155	104	191	60	84	61
BambuGene30041	150.00001	216	252.99999	145.99999	171	138
BambuGene30046	76	109	103	223	226	230
BambuGene30056	23	48	50	434	461	416
BambuGene30079	69	49	125	31	30	43
BambuGene30086	0	0	0	8	4	8
BambuGene30088	0	0	0	178	178	187
BambuGene30106	14	6	11	0	0	0
BambuGene30110	20	6	22	24	32	14
BambuGene30149	587	532	624	202	197	235
BambuGene30157	16475	16588	11870	20	13	19
BambuGene3017	0	0	1	8	14	17
BambuGene30171	2	0	1	1	7	0
BambuGene30173	16	12	19	102	86	93
BambuGene30182	30	38	56	65	84	66
BambuGene30193	124	153	290	439	417	353
BambuGene30198	0	0	0	135	181	113
BambuGene30233	0	0	0	60	54	59.99999
BambuGene30241	1	7	4	10	8	16
BambuGene30249	0	0	0	66	57	52
BambuGene30262	282	265	364	1047	1180	1117
BambuGene30278	13	10	15	0	3	3
BambuGene30306	14	28	44	138	155	139
BambuGene30311	0	0	0	1	4	1
BambuGene3087	7	4	5	0	0	0
BambuGene3167	0	0	1	20	22	10
BambuGene326	6	4	3	7	1	3
BambuGene336	30	58	87	80	75	79
BambuGene3380	6	1	4	6	5	9
BambuGene3459	7	2	7	7	11	8
BambuGene3494	0	0	0	4	4	0
BambuGene3599	15	6	3	14	14	12
BambuGene3620	6	16	5	3897	3180	3748
BambuGene3680	3	7	5	0	0	0
BambuGene3685	56	75	118	66	65	74
BambuGene3740	5	3	10	3	8	2
BambuGene3857	2	4	5	8	6	0
BambuGene3861	1	0	0	3	3	8
BambuGene3865	3	11	19	10	16	9
BambuGene3873	0	0	5	0	1	0
BambuGene3883	0	0	0	2	0	5
BambuGene3899	7	1	9	8	3	4
BambuGene3917	0	0	0	8	14	4
BambuGene3931	55	42	50	149	155	147
BambuGene3944	1	1	1	3	3	0
BambuGene3987	0	2	0	1	1	3
BambuGene4021	11	41	22	0	0	0
BambuGene4031	12	9	14	23	41	37
BambuGene4039	0	0	0	4	15	15
BambuGene4049	1	0	1	187	214	168
BambuGene4054	0	1	0	0	2	5
BambuGene4282	1	0	0	10	4	10
BambuGene4453	0	0	0	1	5	2
BambuGene4469	0	0	0	254	346	269
BambuGene4517	11	13	23	0	0	0
BambuGene4580	0	0	0	8	11	4
BambuGene4609	321	107	155	75	54	65
BambuGene4622	22	16	11	0	0	0
BambuGene4629	0	0	0	14	7	17
BambuGene4632	7	3	1	2	5	4
BambuGene47	0	0	0	38	33	37
BambuGene4707	18	10	13	31	32	29
BambuGene4762	1	0	2	83	91	66
BambuGene49	0	0	0	3	4	6
BambuGene4901	0	0	0	0	3	2
BambuGene4935	201	234	310	188	330	226
BambuGene4937	10	12	21	8	8	2
BambuGene4962	14	7	11	0	2	2
BambuGene5069	74	16	22	16	28	13
BambuGene5071	1	2	1	19	12	16
BambuGene5076	20	9	10	2	3	4
BambuGene5103	2	5	1	19	9	10
BambuGene5106	0	0	0	0	4	6
BambuGene5110	1	6	9	48	47	44
BambuGene5117	0	0	0	30	32	32
BambuGene5143	15	19	19	0	0	0
BambuGene5229	74	89	133	318	384	292
BambuGene5244	12	18	17	27	30	16
BambuGene5252	5	0	0	2	0	5
BambuGene5256	0	0	0	0	5	0
BambuGene5261	21	35	63	0	0	0
BambuGene5303	1	4	9	0	1	2
BambuGene5345	2	0	1	0	6	5
BambuGene5352	0	3	4	1	3	1
BambuGene5357	0	0	0	13	13	17
BambuGene5496	0	1	2	7	12	12
BambuGene5518	7	6	8	38	30	49
BambuGene5547	2	4	6	4	4	3
BambuGene5554	7	10	8	0	0	0
BambuGene5579	2	4	2	77	53	41
BambuGene5583	11	10	7	65	42	63
BambuGene5785	0	4	15	0	0	0
BambuGene5809	6	16	27	34	8	22
BambuGene5813	0	1	0	66	101	67
BambuGene583	35	36	31	16	20	18
BambuGene5852	21	22	31	4	8	3
BambuGene5881	0	0	0	17	13	7
BambuGene5896	0	1	1	6	16	8
BambuGene6048	3075	1541	1746	1320	1392	1190
BambuGene6188	10	11	17	1	0	0
BambuGene6204	25	47	64	30	20	19
BambuGene6221	0	0	0	1	5	3
BambuGene6266	0	2	0	16	32	20
BambuGene6282	0	0	0	82	114	90
BambuGene6285	64	56	108	0	0	0
BambuGene6305	19	20	31	23	10	10
BambuGene6330	9	5	16	12	18	9
BambuGene6337	24	59	110	101	85	100
BambuGene6339	0	0	0	42	38	11
BambuGene634	21	32	34	32	34	27
BambuGene6383	0	0	0	23	25	18
BambuGene6428	0	0	0	6	3	7
BambuGene6452	1	19	26	29	28	26
BambuGene6462	0	2	3	6	6	3
BambuGene6489	0	0	0	102	94	81
BambuGene6509	0	1	7	1	0	3
BambuGene6555	0	4	1	5	2	2
BambuGene6800	1	0	0	4	1	4
BambuGene6818	0	0	0	3	10	5
BambuGene6881	8	7	5	4	0	1
BambuGene6891	2	11	5	2	4	2
BambuGene6930	0	0	0	18	21	14
BambuGene6951	3	7	9	0	0	0
BambuGene7007	1	3	2	0	0	0
BambuGene7035	10	11	15	28	14	18
BambuGene7132	9	9	18	1	0	0
BambuGene7175	0	1	0	23	28	28
BambuGene7204	21	24	27	0	0	0
BambuGene7223	1	3	0	41	46	23
BambuGene7238	0	0	0	7	19	16
BambuGene7275	411	89	218	53	117	124
BambuGene7360	56	61	65	70	91	80
BambuGene7372	2	3	4	8	1	2
BambuGene7378	0	2	0	0	5	2
BambuGene7386	343	357	436	495	576	471
BambuGene7404	3	11	17	5	3	3
BambuGene7443	15	36	63	0	1	0
BambuGene7455	8	9	11	16	22	13
BambuGene7469	3	4	8	34	37	21
BambuGene7608	7	3	0	4	1	0
BambuGene7624	4	0	1	45	27	35
BambuGene7630	17	18	17	12	16	5
BambuGene7680	375	379	544.00001	913	1156	923
BambuGene7706	55	65	36	8	8	5
BambuGene7771	25	15	14	0	0	1
BambuGene7773	11	9	8	9	14	7
BambuGene7804	114	137	221	71	63	75
BambuGene7841	0	1	4	10	7	7
