GENEID	R1_H1975	R2_H1975	R3_H1975	R1_HCC827	R2_HCC827	R3_HCC827
ENSG00000005884	5997.99999	6375	6563	6862.99998	9373	5838
ENSG00000005889	402	331.00001	388.00002	159.99998	119.00001	108.00001
ENSG00000005893	5259.99999	4865.00002	4893	2013.99998	1008.99999	1867
ENSG00000005961	31	26	38.00001	8	3.00001	5
ENSG00000005981	2.99999	2	2	1	0	1
ENSG00000006007	1051	1028	918	888	722	591
ENSG00000006015	663.00001	655	596	1568	1407.99997	1356.00001
ENSG00000006016	29	22	17	25	15	20
ENSG00000006025	69	49	45	211.99999	548	171.99999
ENSG00000006042	64	73.00001	62	8	4	6
ENSG00000006047	72	80.99999	57	241	282	203
ENSG00000006059	0	0	3	0	0	0
ENSG00000006062	51	65	32	86	73	55
ENSG00000006071	2.00001	0	0	0	1	0
ENSG00000006116	6	2	4	0	0	0
ENSG00000006118	223	236.00001	239	193	256.99999	166
ENSG00000006125	1818	1631.00001	1646.00001	1660	2268.00001	1275.00001
ENSG00000006194	150	114.99999	150	125	141	102.99998
ENSG00000006210	1208.99999	962	1298	1219	1337	1181
ENSG00000006282	1062.99999	969.99999	966.00001	2023.99999	1918.99999	2020.99999
ENSG00000006283	0	2	4	5	5	7
ENSG00000006327	10212	13129	12610.99999	10861	8423.00001	10279
ENSG00000006377	0	0	0	7	19	11
ENSG00000006432	214	187	209	389.00001	468	152.00001
ENSG00000006451	5213.00001	5390.99998	5323.99999	2114.99999	1483.00001	1592
ENSG00000006453	2608.99999	2526	2621.00001	1666	1610.00001	1207.00001
ENSG00000006459	100	59	76	41	21	14
ENSG00000006468	115.99999	85.99999	114.99999	50	91.99999	53.99999
ENSG00000006530	504	404.99999	481.99999	277	169.99998	218.99998
ENSG00000006534	1799	1906.00001	1818.99999	2551.99999	3274	2571
ENSG00000006555	79	57	69	84	59	74
ENSG00000006576	348.00001	289.00002	270.99998	162.99999	108.99999	145.99998
ENSG00000006606	240	219	197	312	247	257
ENSG00000006607	288	261.99999	249.00001	380	384.00001	233
ENSG00000006611	13	8	8	121	148	149
ENSG00000006625	5616	4945.99999	4910	3118	2134	2598.99998
ENSG00000006634	1032.99999	985	887.00001	396	356	346.00001
ENSG00000006638	45	65	43	7	2	4
ENSG00000006652	1903	2311	2236	1055	679	975.99998
ENSG00000006695	506.00001	471	500	410	396	346.00001
ENSG00000006704	278.00002	267.00001	304	258.99999	380.00001	202.99999
ENSG00000006712	470.00002	450.99999	422	1244.00001	1343.00001	1231.99999
ENSG00000006715	1901.99999	2091	2030.00001	895.99999	801	592.99999
ENSG00000006740	40	47.00001	61	34.99999	27	16
ENSG00000006744	769.00001	886.99997	731.00001	924.99999	1490	897.99999
ENSG00000006747	172	170.99999	147.00001	62	42	30
ENSG00000006756	674	619.00001	581.00001	1367	1645.00001	936
ENSG00000006757	1728.99998	1658.00001	1636	2651	1469	2351.00001
ENSG00000006788	1	0	3	0	0	0
ENSG00000006831	472	442	383.00001	536.00001	502.00001	392.00001
ENSG00000006837	177	139	156	61.99999	35	47.99999
ENSG00000007001	0	6	4	3	1	2
ENSG00000007038	2009	1950.00001	1799.99999	3209	2713.99999	3211
ENSG00000007047	77	52	55	269.00001	454	249
ENSG00000007062	1	0	0	0	0	1
ENSG00000007080	3345	3350.00002	3100.99999	6053	5706.99999	6328.99999
ENSG00000007168	1852	1942.99999	1762	1488	1817.00001	1263.99999
ENSG00000007174	2	1	6	0	0	0
ENSG00000007202	402	442	429	412	718.00001	313.00001
ENSG00000007216	0	0	0	0	0	0.99999
ENSG00000007237	6	8	12	0	3	2
ENSG00000007255	1239	1256.00001	1205	1732.00001	1713	1529.00001
ENSG00000007264	29	30	42	4	12	1
ENSG00000007306	3	1	1	8	0	6
ENSG00000007312	0	2	1	1.99999	0	0
ENSG00000007314	11	11	8	0	0	0
ENSG00000007341	376.00003	367	392.00001	420.00002	325.00001	338
ENSG00000007350	1	0	1	0	0	0
ENSG00000007372	0	0	0	6	0	2
ENSG00000007376	330.00001	354	383.00002	545	692	546
ENSG00000007384	152.99999	100	100	105.99998	168.99999	89
ENSG00000007392	919.00002	792.99999	859.99999	702.99998	573.99999	593.99999
ENSG00000007402	4.99996	14.99999	12.00003	27	5.99999	14
ENSG00000007516	31.00001	22	35.00002	178.99999	268	158
ENSG00000007520	578.00001	567	461	428.99999	856	335
ENSG00000007541	267.99998	252	234	210.99999	320	255.00001
ENSG00000007545	101	100	115	92	118.99999	34
ENSG00000007866	197	201	144	246.00001	294	187
ENSG00000007923	639	606.00001	541.99999	650.00001	648	605.00001
ENSG00000007944	183	189.00001	148.99999	169.00001	169.00001	122
ENSG00000007952	16	15	22	19	15	17
ENSG00000007968	26	20	11	48	52	30
ENSG00000008018	10057	9577.99999	8601	9920.00001	6364	8154
ENSG00000008056	22.99999	44	21	2	2	0
ENSG00000008083	248	187	190.99999	141.99999	155	62
ENSG00000008086	93	67	68	53	36	20
ENSG00000008118	1	0	0	1	0	1
ENSG00000008128	1023.99999	748.99999	769	629.00001	673.00001	337
ENSG00000008130	296.00001	304	345	303.00001	433.00001	292.99998
ENSG00000008196	1	0	0	0	0	0
ENSG00000008197	0	0	0	1	0	0
ENSG00000008226	12	20	14	11	12	8
ENSG00000008256	278	274	304	273	311	182
ENSG00000008277	2.99999	1	0	19	23	22
ENSG00000008282	3648.99999	3455.00001	3249	1468	810	1085
ENSG00000008283	1932	1695	1684.00001	1459.00001	1404.99999	1168.99999
ENSG00000008294	624	553.00001	621.00001	356	481	214
ENSG00000008300	155	107	119	54	48	46
ENSG00000008311	24	31.99999	22	15	14	12
ENSG00000008323	43	54	38	189.99999	221.99998	157
ENSG00000008324	2468	2083	2109	1309	1084	1350
ENSG00000008382	169	148	134.00001	382.00001	698	370
