R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
ERGIC3-206 21 14 16 3 8 4
PRKAR2A-AS1-202 3 7.38336 2.73361 0 0 0
ATP2C2-202 1 4 3 1 0 1
MKLN1-AS-201 18.11264 22.48153 23.21927 17 3.83528 5.89332
TSNAX-DT-201 121 126 100 54 25 37
ATL2-205 2 0 0 0 0 0
CTTNBP2-203 0 0 0 1 0 0
SLC25A13-202 4 5 3 0.34922 0 2.5
SNX10-206 5 10 12 0 0 1
SMIM13-202 183 180 160 105 78 67
PDCL3-202 0 0 1 0 0 0
TOB1-AS1-201 19 25 27 14 18 24
H3P47-201 0 0 0 0 1 0
RPL15P14-201 1 0 0 1 0 0
MYD88-201 1 0 0 0 0 0
CBY1-204 17 20 17 22 13 16
ALDH2-202 3 1 1 4 1 2
CATSPER2P1-203 4.17872 2.30022 0.23189 0 0 0
ARHGAP21-203 3 1 0 0 0 0
DEPDC4-203 3 5 0 1 3 0
RTL10-204 1 4 4 1 0 0
ADIRF-202 856 890 915 0 0 0
RAD23B-202 25 26 29 1 0 1
TOMM22P5-201 0 0 0 1 0 0
DDAH2-214 0 0 0 26 0 0
USP4-204 3 3 1 0 0 0
CALCOCO2-203 0 2 3 0 1 1
ENST00000416454 0 1.03996 0 0 0 0
ENST00000416455 0 0 0 1 1 2
ENST00000416463 1 2 4 8 9 0
TRIM16-202 0 1 0 1 0 0
PHB1P10-201 1 0 0 0 0 1
SMIM19-202 126 167 140 18 24 16
FRMD3-AS1-201 0 0 0 0 0 1
BBX-207 1 1 0 0 0 0
ZNF268-202 4 6 0 0 0 0
FAM234B-202 2 0 1 0 0 0
E2F7-202 0 1 0 0 0 0
ZNG1B-203 39 42 54 18 9.99999 18
CLYBL-204 1 0 1 2 6 2
FAM229A-202 5 0 11 11 10 15
TUBBP6-201 0 0 0 0 1 0
RBM39-209 2 3 2 0 0 2
UBXN4-203 2 9 4 3 2 1
INTS12-203 0.65014 0 0 0 0 0
TP53TG1-202 79 77 61 117 93 100
PFKFB4-204 1 0 1 0 0 0
WDR35-DT-201 58 32 42 8 5 13
SFXN5-204 0 1 0 0 0 0
CAPN10-209 0 0 0 0 0 1
MAVS-201 5 1 3 4 2 2
STAG3L4-202 467 495 507 605 281 449
THUMPD3-202 1 2 3 0 0 0
TFAP2C-202 0 0 0 2 0 0
NOP14-203 9 25 10 33 20 24
IQCD-202 16 13 9 10 0 14
SH3GLB2-205 0 0 0 0 1 0
CLK2P1-201 0 0 0 0 1 0
APTR-202 12 17 9 6 0 2
FTCDNL1-201 0 1 0 0 0 0
CHEK2-208 0 0 0 2 0 0
RPL23AP7-203 44 47 46 32 28 23
DDX39B-AS1-207 3 5 5 1 1 5
CTDSPL-203 0 2 0 0 0 0
SLC2A1-DT-201 38 19 24 12 4 5
COG6-202 0 0 1 0 0 0
TMPPE-202 0 1 1 0 0 0
RRP7A-202 1 0 0 0 0 0
IP6K2-207 47 52 53 51 27 52
MTCO3P12-201 35 26 20 32 47 17
RBFOX2-208 110 161 133 69 27 54
LINC00316-201 2 5 1 0 0 0
ENST00000416734 11 16 18 41 19 5
SPECC1L-202 19 15 13 5 3 2
SCLY-205 0 0 0 0.01554 0 0
EIF4B-202 0 0 1 0 0 0
LINC00339-202 224 177 191 144 83 144
FRMD8-203 3 5 2 0 1 2
AOC1-202 0 0 0 3 0 0
ZNF691-DT-202 0 0 0 8 0 0
CCDC32-202 326 302 227 216 128 175
BCAP31-202 0 1 0 0 0 0
BMI1-202 0 1e-05 0 0 0 0
HNRNPA3P3-201 5 5 1 0 0 2
FAM156B-201 6 0 3 0 0 3
ENST00000416869 116.66344 97.81818 94.37686 89.06873 80.03909 83.53359
SPG21-202 6 3 8 9 6 11
ZNF740-201 3 3 16 2 0 3
BCL7B-203 1 0 2 0 2 1
SLC35B4-202 1 2 1 0 0 0
CLDN10-AS1-201 0 0 1 0 0 0
PPP1R21-203 1 1 1 0 1 1
GRPEL2-202 3 2 3 2 0 6
HAGLR-202 0 0 0 2 0 4
MTND1P23-201 78 41 53 159 193 105
AP4M1-203 0 2 0 0 0 0
CCL24-202 0 1 0 1 0 0
GAS5-203 4 1 2 0 2 1
TMEM70-202 319 270 291 500 225 470
TXN2-204 191 194 152 185 94 199
SNHG7-202 138 179 199 38 41 50
INTS9-201 3.5 8 8 0.79076 1 4
NFIB-AS1-201 0 0 2.5 0 0 0
SEM1-204 7 6 9 0 8 1
TFPI-205 3e-05 0 2.02025 0 0 0
BTD-202 165 125 122 107 100 126
TMEM104-202 1 0 0 0 0 0
CKLF-205 0 0 0 2 0 0
MDC1-203 0 0 0 0.25262 0 0
MYD88-202 9 26 27 16 3 18
SFTPA2-203 0 0 0 1 0 1
ZDHHC16-209 3 4 2 2 0 0
ZNF692-DT-201 0 0 1 0 0 0
ENST00000417053 0 1 0 0 0 0
NIBAN1-202 1 0 0 0 0 0
CD27-AS1-202 0 3 0 0 0.91949 1
CCDC148-204 0 0 0 1 0 0
TMEM107-202 0 0 0 1 0 0
RPL21P62-201 0 0 0 1 0 0
ST13P13-201 5 1 2 5 0 1
HAGLR-203 0 0 0 0 0 1
RPS28-201 0.15955 0.06237 0.09782 0.86571 0.73337 0.26018
MOB4-206 8 1 3 4 0 4
SATB2-202 1 0 0 0 0 0
ENST00000417110 0 0 5.23265 0.1321 4.21552 0
ITGB1-204 2 3 3 2 0 5
SLC13A3-205 0 2 2 0 2 1
MED4-203 1 2 1 2 1 0
PDZK1-202 4 2 1 0 0 0
PRC1-203 0 0 1 0 0 0
PLCD1-202 2.2715 0 2.29036 3.12306 7.42171 0.64468
NRP2-206 0 0 0 0 0 1
RPL22P18-201 0 0 1 0 0 0
RBM18-201 1041 1013 963 714 403 620
GTPBP10-204 20 17 26 6 4 3
RBMS1P1-201 1 0 0 0 2 1
LINC02798-201 0 0.5 0 0 0 0
PARP3-202 1 2.99999 3 0 0 1
HMCES-203 52 56 39 27 16 42
UBE2F-207 13 23 11 3 0 2
CCDC144NL-AS1-201 32 30 40 0 0 0
TCAIM-205 5 6 5 4 1 3
FSCN2-202 0 0 1 0 0 0
DMRT3-202 2 3 1 0 0 0
PCAT6-202 34 19 21 38 32 16
ENST00000417282 10 8 6 4 4 8
SSB-204 10 8 11 5 2 4
SH3GL1-202 1 2 1 0 0 0
LINC01752-201 0 2 0 0 0 0
HRAS-204 7 5 5 0 2 3
BNIP2-202 1 0 1 0 0 0
KBTBD8-201 1 2 1 1 0 0
FBXL3-202 2 0 1 1 0 0
NDUFA6-DT-201 34 26 19 13 1 7
SLC25A37-202 1 0 1 0 0 1
PPP1R3B-DT-201 0 0 1 0 0 0
ENST00000417355 36 30 29 0 0 3
NUS1P2-201 0 0 0 1 0 0
FANCL-205 1 1 3 0 0 3
VPS35L-202 0 0 0 33.49755 0.00915 44.42121
SGO1-204 5.8541 12.76526 5.62082 4 0 2
AASS-203 0 0 0 0 0 0.92408
FASTKD1-201 0 0 1 0 0 0
TTC28-AS1-201 2 13 8 3 4 0
ENST00000417383 0 0 1 0 0 0
TM9SF4-203 0 0 1 0 0 0
XRCC5-203 0 1 0 0 0 0
NAA80-202 11 8 3 1 3 3
CIART-204 3 1 2 0 0 0
BCAR3-AS1-202 0 0 0 37 29 30
SMIM19-203 116 115 114 42 30 44
RAB3IP-205 2 1 6 1 0 1
POLR1B-204 0 0 0 0 0 1
SMIM10L2A-201 0 1 1 2 1 1
VCP-202 1 5 1 0 1 2
ALKBH8-204 10 7 13 4 2 1
ESAM-202 2 3 3 0 0 0
CAP1P2-201 0 0 0 1 0 0
UPP1-205 198 185 172 113 99 147
RUFY3-203 1 0 0 0 0 0
UIMC1-202 0 0 0 1 0 0
NCOA7-204 0 1.97103 0 0 0 0
ARPC4-202 26 28 20 11 9 11
TMEM120A-201 0 1 0 0 0 0
ENTR1-205 3 1 5 1 15 4
ENST00000417533 0 0 1 1 0 1
ZNF250-202 8 7 12 10 3 10
TSPAN14-AS1-201 11 11 7.21971 2.22737 1 4
DIP2A-202 0 0 0 0 0 0.85024
LINC01725-202 0 2 0 0 0 0
SEC22C-205 2 0 0 0 0 0
BMP4-202 6 1 0 4 0 1
SNHG17-203 35.5 44 46.5 0 0.5 0
GLUL-204 19 14 17 10 3 2
CHEK2-209 1 1 0 0 0 0
SMARCA2-211 1.12565 0 0 0 0 0
DDX19A-202 1 3 2 2 2 0
SRRM5-201 0 0 0 0 3 0
SYF2P2-201 1 0 0 0 0 0
IFRD2-202 564 825 540 466 343 666
LURAP1L-AS1-201 7 3 3 1 5 4
NCL-203 22.35517 17.14611 12.13345 13.53581 3 4.75043
SKA1-203 1 1 2 0 0 0
ENST00000417657 0 0 1 1 1 0
RPL18AP14-201 0 0 0 1 2 0
XPNPEP3-202 0 1 0 0 0 0
CES2-202 32 31 29 11 5 7
C2orf74-AS1-201 1.5073 5.6057 7.65145 1.3665 3.36433 2.47756
ENST00000417692 59 50 42 50 46 41
TK2-202 2 4 1 6 0 3
MZB1-202 0 0 0 0 0 2
HP1BP3-205 4 10 6 4 2 2
ZFAS1-203 2796 2318.92506 2240 2286 1454 1926
TUBB6-202 0.11409 0.24186 0 0 0 0
SMARCE1P1-201 3 3 1 1 1 3
LMBR1L-202 2 2 0 3 1 3
PARVG-203 0 0 0 0 1.88293 0.90219
DDX10P2-201 3 2 2 0 0 3
NIFKP3-201 0 0 1 0 0 0
DMAC2-203 2 8 6 11 10 7
DIS3L2-205 0 0 0 0 4 0
NEBL-203 2 8 1 1 0 3
PDHA1-204 2 6 2 0 0 1
DNAAF19-204 112 131 115 95 84 112
FGD5-AS1-201 0 0 0 1 0 0
NEBL-AS1-201 11 11 21 7 7 7
PLCD4-202 2 4 2 0 0 0
NUTM2A-AS1-204 12.5 21.99997 21 5.5 8 9
USP10P3-201 1 1 0 1 0 0
ENST00000417868 1 1 0 0 0 0
DONSON-203 0 1 0 0 0 0
RPL3P7-201 15 12 17 36 18 13
RPSAP6-201 0 0 0 1 0 0
ENST00000417884 0 1.5 0 4 2.5 2.5
TP53I3-205 0 1 0 0 0 0
MPDU1-AS1-202 129.01055 127.96104 131.85268 156.06378 127.2088 123.81255
USP19-204 2 0 0 1 0 0
HDAC7-205 0 0 0 0 3.68363 0
NDUFA3-205 19 15 14 1 6 5
ARHGAP22-205 0 2 0 0 0 0
LINC01770-201 0 3 5 3 0 0
ZBTB7B-203 0 1 1 0 0 2
NAPEPLD-203 0 1 0 0 0 1
PLAGL1-206 0 0 0 0 0 1
MX1-205 1 4 3 2 1 3
TRBV30-201 29 11 12 0 0 0
ECSIT-203 68.23851 74.89462 73.62891 88.28401 52.98331 89.20218
PCTP-203 0 2 0 0 0 0
ACTBP1-201 1 1 0 0 0 0
ENST00000418001 4 0 0 0 1 3
SLC39A10-204 8 10 1 0 0 1
HSPD1-203 8 5 4 1 1 4
ARHGAP21-204 0 1 0 0 0 0
TBC1D2B-203 0 0 0 1 0 0
BPGM-203 0 0 1 0 0 1
LINC01781-201 0 0 0 0 0 1
ENST00000418050 9 16 17 12 26 5
ZNF90-201 15 10 10 0 0 0
ENST00000418093 1 2 2 0 0 0
NHEJ1-203 0 2 1 0 0 2
ZNF724-201 21 23 26 1 2 2
ICAM2-202 18 22 17 5 1 6
HLA-DMB-258 44 49 36 7 6 24
LAMB2-202 0 0 3 0 0 2
RHOA-202 10095 10788 9290 7482 4076 7091
GTF2H1-202 0 0.37376 0 0 0 0
MEIS3P2-201 1 0 0 0 0 0
EIF2B4-204 0 0 0 1 0 0
KDM4A-AS1-202 0 3 1 0 0 0
ENST00000418154 0 2 0 0 0 0
DESI2-203 0 0 0 1 1 0
HMGXB4-202 1 1 0 0 0 0
EXO5-205 9 8 6 10 8 7
SP3-203 19 3.91209 20 13 6 6
TMEM64-201 1 1 6 1 3 4
BDNF-207 0 0 0 0 0 1
GTF2B-202 0 0 0 0 1 0
ARHGAP29-AS1-202 0 0 0 0 0 1
FOXD3-AS1-201 1 2 4 1 0 4
THRB-206 0 0 0 1 0 0
TSPAN11-AS1-202 0 1 0 0 1 0
DMKN-206 3 3 2 3 2 2
LINC01638-201 66 50 48 1 0 2
GALE-202 0 0 0 1 0 0
PAEP-204 1 0 0 0 0 0
NAPEPLD-204 0 4 0 0 0 0
SETD9-202 159 134 116 30 21 20
TUBG1P-201 1 0 0 0 1 1
ARID4B-204 1 2 1 1 0 0
RNF32-DT-202 35 21 27 4 7 16
RPS7P8-201 0 0 0 0 0 1
BRD8-205 0.39346 3.27961 1.76538 0.43572 0 0.74674
TGFA-203 0 1e-05 0 0 0 0
PRKAG2-203 60 77 59 33 21 33
ACTBP7-201 0 0 0 0 0 1
LINC00680-203 24 29 19 13 0 18
MYLK-204 0 0.05901 0.83022 0.58273 0 1.03084
LINC00702-201 11.5 6 15 3 1.5 0
SNHG11-203 1 2 3 1 1 0
EIF4E-202 4 4 1 3 3 3
TMEM250-201 7 10 4 0 2 3
NDUFA11-202 82 98 80 28 18 14
DEF8-202 58.92162 71.08644 79.40091 82.9177 47.07206 87.67246
LINC01610-201 1145 843 1065 396.80111 238 355
LETMD1-203 0 0 1 0 0 0
NME6-204 6 12 5 7 10 2
RFC1-203 3 3 0 0 0 0
POLD2-203 1 3 6 5 0 7
RPL21P87-201 2 1 2 2 1 2
ABHD4-202 2 1 1 0 0 2
PARL-204 3 1 3 3 4 2
GNL3-202 0 3e-05 0 0 0 0
MAP10-201 57 72 59 23 23 19
UNC45A-201 18.5 23 11 20.99999 6 20
SETD6-204 1 0 0 0 0 1
TCP11-207 0 0 1 0 2 0
NPHP1-205 165.47003 113.26915 117.0673 153.5115 67.05192 85.27944
SLAIN1-206 0 0 1 0 0 2
RPS25P4-201 0 1 0 0 0 0
BCYRN1-201 46 40 25 30 28 7
WDR83-201 79.64988 68.5 117.99998 56.99999 33 66
PCBP1-AS1-227 1 0 0 0 0 0
ENST00000418574 0 0 0 0 0 1
CYB561D2-202 16.78851 54.0288 31.24414 5.87743 1.82431 0
DAG1-202 0.5 1 0 0 0 0
PA2G4P5-201 3 1 2 1 2 0
HYCC2-202 0 1 3 1 0 1
SACM1L-202 0 0 3 0 0 0
PON3-202 1 2 4 0 0 2
RPL22P1-201 107 94 121 139 157 117
RPL5P28-201 0 0 0 1 0 1
SNAP47-204 1 2 2 0 0 0
ENST00000418655 0 0 1 0 0 0
LINC03009-204 1 1 0 0 0 0
DSP-202 0 0 0.16418 0 0 0
AIMP1P1-201 0 0 1 0 2 0
NRP1-210 1 2 1 3 0 0
ASS1P3-201 0 1 0 0 0 0
LZTFL1-203 0 0 1 0 0 0
TRPV4-202 1 0 0 0.93057 0 0
RANBP1-205 2 8 2 3 2 3
ZKSCAN7-203 0 1 0 0 0 0
OR51B5-203 3 1 0 0 0 0
MRPS24-203 3035 2714 2747 2785 2350 2224
PMS2P3-203 0 0 0 0 1 0
LINC00680-204 5 6 5 4 1 2
FAM131A-205 0 0 0 0 0 1
ARMH1-203 0 0 0 1.27606 1 0
ERMARD-205 0 0 0 0 1 0
RPS9P2-201 23 16 9 30 21 21
FAM27E3-201 0 0 3 0 0 0
ATP1A1-204 1 0 0 0 0 0
DDR1-232 7 5 3 7 6 12
NAGK-202 17 18 24 49 16 48
MORF4L2-202 63.38192 38.95651 0 25 0 27
ENST00000418824 56 58 31 110 75 102
LINC02068-201 0 0 1 0 0 0
CMC1-203 0 0 0 0 0 39.88466
BTF3P4-201 0 0 0 1 1 0
FTX-201 0 0 1.90499 0 0 1
CCNL2-203 0 0 37.46149 57.15223 21.69188 45.47688
ZNF20-202 27 29 26 11 5 4
ENST00000418868 20 16 13 11 17 20
ZNF160-202 54 60 51 7 9 3
RPL30P13-201 0 0 0 1 0 0
ENST00000418874 0 0 0 0 0 1
WBP1P1-201 1 2 0 1 0 1
ACAA1-204 0 0.80754 0 0 0 0
RPL37P11-201 0 1 0 0 0 0
HIGD1A-202 6 14 9 8 4 5
VOPP1-204 1 2 4 53 26 42
ZNF620-202 1 6 5 3 9 7
SHROOM2-202 0 2 0 0 0 0
PPP1CB-203 0 0.13757 0 0 0 0
TFG-202 0 0 1 0 0 0
GNS-202 0.982 2.82334 0 5.92701 0 1.98813
HLA-DPB1-211 81.90579 77 86.88804 2 7 7
ATP5PO-203 0.00209 0 0.01049 0 0 0
PPP1R2-202 0 0 0 0 2 0
ENST00000418941 0 5 3 5 0 2
ACTR1AP1-201 0 0 0 0 1 0
PNISR-AS1-201 60 51 35 14 4 12
SPACDR-202 0 0 1.84908 0 0 2.22621
ASMER1-202 2 1 1 89 28 78
ZNF32-AS2-202 1 0 0 0 0 0
SWI5-202 2051 1791 1868 746 449 627
LUC7L-205 0 1 5 1 0 0
CAPN7-203 5 7 2 2 2 2
DGUOK-203 1560 1284 1256 1589 1030 1146
YWHAZ-208 6.86551 0.7382 2.32191 29.85416 85.2965 6.95262
CHMP5-202 18 20 22 10 1 9
FKBP14-203 0 0 2 0 0 0
VPS45-202 8 3 5 2 0 4
SENP5-202 15 39 20 5 6 6
RPS26P13-201 0 1 1 2 0 0
RPS4XP5-201 1 3 0 2 0 0
CASP8AP2-202 50 42 38 23 2 19
MX1-206 2e-05 0 0 0 0 2.5
ACAA2P1-201 0 0 2 0 1 1
CYB561D2-203 14 22 11 26 12 21
PSMG4-205 353 321 365 0 0 0
UCHL3-202 2 0 2 0 0 1
PRPSAP2-205 0 2 0 0 0 0
RPS26P58-201 1 3 3 3 1 1
RCOR3-203 6 3 11 6 1 4
LSS-203 0 0 3 0 0 0
ZNF732-201 1 4 3 0 0 0
FLVCR1-202 0 1 1 0 0 0
FKBP14-AS1-201 9 3 8 1 0 1
NDUFA3-206 2 1 2 0 0 0
NREP-204 2 5 13 3 0 2
BSDC1-203 1 1 0 1 0 2
MIR205HG-202 2e-05 0 0 0 0 0
CROT-203 0 1 0 0 0 0
RPL22P6-201 0 1 2 0 1 0
EEF1D-203 0.58138 3.55173 0 0.00016 3 0.084
PHF19-203 0 0 0 1 0 0
MDFI-204 41 62 52 15 16 14
TMSB15B-201 0 0 0 0 1 1
SMG7-204 0 0 2 1 0 1
RPS3AP37-201 0 0 1 0 0 0
GOLGA4-203 3 0 0 0 0 0
GTF3A-202 14 19 6 10 10 12
ENST00000419183 0.9435 0 0 0 0 0
FKBP7-203 58 77 87 11 20 13
ELF3-AS1-202 108 95 92 307 212 240
ENST00000419196 0 0 0 7 3 5
EMC9-202 385 396 348 708 716 751
FAM3A-208 3 2 3 10 8 16
COPS6-203 1 1 1 0 1 1
ENST00000419211 1 1 5 0 0 0
MRPL39-203 0 0 0 0 0 1
SGO1-205 1 1 1 0 0 0
BRAP-202 69 114 95 54 32 75
DUSP22-202 0.55542 0.24063 1.13729 0.97068 0.32395 0.62171
CCDC14-205 0 1 0 0 0 0
TTC28-AS1-203 5 5 2 3 0 1
SEMA3C-203 0 1 0 0 0 0
GABPAP-201 0 0 1 0 1 0
PPIAL4G-201 1 2 2 1 0 2
RPL31-209 1 1 0 1 1 0
MTERF1-203 5 4 6 0 1 3
AGR2-203 3574.40126 2562.30894 2669.00946 108.13259 130.71473 3290.16095
GSDME-206 1 1 0 0 0 0
FOXA2-202 27 41 22 3 4 3
RPL36P18-201 0 0 0 0 1 0
ACHE-205 0 0 1 0 0 0
HTATIP2-201 702 973 693 270 158 228
GPX1-201 14 21 20.00388 8.95056 7.00892 9.01073
LINC01341-201 0 0 0 0 1 0
SIX3-AS1-201 25 14 13 0 0 0
HMGN1-205 3e-05 13.99999 2e-05 0.60109 4.69775 0.65271
ARRDC1-202 1 0 0 1 1 2
ANKRD36B-203 0 1 5 1 0 1
RAC1P4-201 0 2 0 0 0 0
PRR22-202 0 0 0 0 0 1
EMSLR-201 27 37 23 3 1 3
PAXIP1-202 4 0 2 0 0 0
HINT2P1-201 0 0 0 1 0 0
METTL2B-202 3 3 1 3 2 0
PGGT1B-203 164 149 142 66 25 74
RASAL2-AS1-201 0 0 1 1 0 0
LINC02888-201 3 0 2 0 0 0
PHETA2-202 1 0 0 2 0 2
YWHAZ-209 26 36 22 1 6 5
GTPBP2-203 0 0 0 0 0 2
RPS15AP12-201 0 1 1 0 1 0
HMGN1P4-201 0 0 0 0 1 0
LUC7L-206 3.68468 2.37548 1.53235 0 2.82483 0
CEP85L-205 1 1.67535 1.19161 0 0 1
RPL31P45-201 1 0 1 0 0 1
ARL8B-202 12 7 4 0 0 2
VGLL4-207 0 0 0 0 0 1
ATL2-206 1 2 1 0 0 0
GNAS-216 1.35452 0 0.5 0 0 0
DERL1-203 17 9 6 1 6 2
RPS12P23-201 1 0 2 0 1 0
PTPA-212 10 14 11 0 0 0
SYS1-DBNDD2-201 31 43 27 39 9 50
NOD1-204 0 1 0 0 0 0
RBM6-202 0 0 1 0 0 0
RAD23B-203 0 0 0 0 1 0
STK3-201 92 122 101 32 9 44
ANXA13-202 0 0 0 1 0 0
DCAF8-205 37 54 61 31 36 33
LINC01671-201 1 2 2 1 0 0
SDCBPP3-201 0 0 0 1 1 0
ENST00000419639 0 6 0 0 0 0
RALY-AS1-201 0 1 3 0 0 0
SAPCD1-AS1-202 7 7 8 8 0 6
CYTOR-208 1 4 0 0 3 0
PLPP5-201 291 273 284 450 265 392
GAPDHP64-201 0 0 0 1 2 2
EIF5A-205 897 1279 887 1015 720 1024
JDP2-202 0 0 3 0 0 0
LINC01725-204 1 0 0 0 0 0
MIR4435-2HG-204 22 12 11 21 15 5
FBXO15-201 13 23 14 0 0 1
FLNB-203 67.51742 5.8141 2.83336 7.19457 2.45403 15.00431
PIERCE1-204 0 0 0 1 0 0
MKX-AS1-202 0 0 1 0 0 0
GPX1-202 16522.5562 18234 15984.99986 5345 4679.94048 4829.98829
NT5DC1-203 0 0 1 0 0 0
SERPINH1P1-201 1 0 0 0 0 0
NOD1-205 7.41925 8 0.51679 0 0 0
KLHL7-DT-201 15 23 24 10 7 6
ENST00000419814 0 0 0 1 0 0
TAOK3-202 0 1 1 0 1 2
LDAH-206 4 2 4 1 1 1
HSPA8P8-201 1 0 0 1 0 0
PFDN1P1-201 5 3 3 5 4 3
PRPF18-204 0 1 1 0 0 0
ZNF587-202 2 0.41552 0.55394 0.15531 0 0
STRAP-202 1102.9764 62.44594 1858.70194 1338.35864 5e-05 1237.23583
UBE2W-201 3 3 5.5 9.4315 3.5 7
ZNF433-203 36 45 32 9 8 7
SLC12A5-AS1-201 6 6 5 1 0 0
HELLS-206 10 5 4 4 1 1
NIFK-AS1-203 6 11 6 10 1 11
PRXL2B-204 11 13 7 9 11 11
LINC01426-201 0 0.8366 0 0 0 0
KCNK15-AS1-203 4 2 1 0 0 0
ENST00000419937 8 1 9 3 0 1
ADHFE1-205 0 0 1 0 0 0
PRPF31-203 4 8 5 2 0 0
RBMX-202 0 0 0 1 0 0
YWHAZP5-201 0 0 0 0 1 0
SLC4A1APP1-201 1 0 1 1 0 1
TRMT61B-202 0 0 0 0 0.36281 0
SNHG11-204 0 0 4 0 0 0
UBA5P1-201 1 0 0 0 0 0
ADM5-201 4 5 6 5 1 2
LINC00937-201 6 2 0 1 0 1
PHF3-203 1 1 2 2 0 0
ENST00000420044 0 0 0 1 0 0
VKORC1-206 4 4 3 0 0 0
NFE4-201 243 212 250 10 5 6
RHEBL1-202 27 37 34 4 5 5
MCM3AP-AS1-202 1 0 0 0 1 0
ZDHHC16-210 2 0 0 0 1 0
ENST00000420091 1 0 1 0 0 0
OGFRP1-203 2 1 2 0 2 4
PPIAP23-201 0 0 2 0 0 0
SEMA4D-204 1 0.02777 1.37615 0 0 1.81598
CHCHD4-203 1 0 0 4 0 0
CSF1-205 2 8 5 2 1 4
CDV3-202 3 2 0 0 0 3
ENST00000420118 0 3 0 0 0 0
FTCDNL1-202 0 3 1 0 0 0
SNHG31-201 0 0.97577 0 0 0 0
GPC1-202 0 0 0 0 3 4
NUP210-202 0 1 0 0.08133 0 0
DTYMK-203 0 0 1 0 0 0
PBRM1-210 0 3 0 1 1 0
PIGF-204 9 8 5 0 0 4
HMGXB4-203 181 169 193 126 65 77
SLC16A1-AS1-203 47 26 41 30 11 17
SH3BP5-AS1-202 0 1 0 0 0 0
SNHG5-203 10 8 7 3 0 3
EXO5-207 33 0 0 29 0 24
FAM185A-204 30 16 32 5 6 12
TM4SF19-AS1-201 13 10 27 35 14 31
CHD2-202 25 27 17 12 2 13
EIF4A1P1-201 1 0 2 2 1 1
FAM111A-202 0 0 0 0 0 1
TP53-204 0 1 0 0 0 0.5
SCYL1-202 0 0 0 0 0 2.30702
ASNSD1-202 3 1 1 0 0 0
SSBL5P-201 19 12 25 15 7 6
APCDD1L-DT-201 39.34763 2e-05 82 0 0 0
PPP1CB-204 2 2 2 0 0 1
TSPYL4-201 673.95959 51.96044 733.95178 524.76206 344 446.98
TANGO2-207 2 0 0 0 0 0
NDUFA3-207 3 1 1 2 0 0
RPL17P36-201 1 1 1 2 4 0
EGFR-204 0.39417 0.25016 0.21761 2.50784 36 4.92739
OGFOD2-204 0 0 0 0 0 1
RECQL5-203 0 1 0 0 0 0
DISP1-203 37.3046 26.38598 35.65525 4.92068 5.79487 7.77252
MED7-202 38 41 39 39 23 32
ATF7-201 10 9 8 5 4 5
WDHD1-202 1 0 0 0 0 0
CPNE1-211 3 0 1 0 0 0
PDCD4-AS1-201 38 34 25 11 8 24
TRNT1-207 7 2 1 0 0 0
LPP-204 0 0 0 19 7 22
TFRC-203 1 0 1 0 0 0
SUV39H2-207 2 0 0 0 0 0
HOPX-205 4 5 4 25 3 20
PRODH-205 0 0 0 0 0 1
ZNF345-202 7.13315 0.56301 3 1 3 0
TMEM50B-201 1 1 0 0 0 1
MUC20-OT1-203 0 0 0 0 0 0.88402
API5-202 0 0 0.99998 0 0 0
AURKA-209 0.02763 0 0 0 0 0
BCL2L1-204 9 6 4 29 14 45
SEPTIN7P7-201 5 6 6 0 1 2
TCEA1P2-201 15 13 9 27 77 10
LINC00339-203 2.61469 1.85855 0.8553 0 0 0
INO80D-AS1-201 24 13 17 0 0 1
NBPF1-202 3 0 0 1 2 0
FAAP20-207 1 0.2048 0 1.89936 2.2083 0.14356
MLLT10-206 0 0 0 1 0 0
RPL3-204 0 0.05555 0 0 0 0
TNFSF10-202 5 1 1 0 0 2
PIK3R3-203 2 2 0 0 0 3
AZI2-205 138 125 144 74 36 67
PHB1P11-201 2 0 1 2 1 0
LGALSL-203 2 1 2 3 0 0
GMPR2-203 153 175 165 142 86 152
LINC00574-201 1 2 2 0 0 1
DNPEP-AS1-201 1 0 0 1 0 1
GSPT1-201 1 2 3 1 0 1
CYB561D1-204 5 9 1 6 1 4
LMOD3-201 4 1 1.95544 0 0 0
TAF11-202 16 25 16 1 6 3
NR2C2AP-202 94 87 119 133 120 153
ACADM-203 5 6 6 3 1 0
RPL12P43-201 0 0 0 0 1 0
KANSL2-201 76 87 66 69 23 57
FAM88F-201 0 0 1 0 0 1
PEX5-205 0 0 3 0 0 1
LDLRAD1-203 0 0 0 1 0 1
ZNF74-205 1 0 0 0 0 0
MTIF2-210 1 0 0 0 0 0
ABHD1-203 2 3 1 2 0 0
TRAF3IP2-AS1-201 2 4 2 0 0 0
LRRFIP1-205 0 1 1 0 0 1
MAPT-206 2.40527 0 0 0 1 0
C2orf68-203 3.51811 0 20 0 3.74946 0
LINC00626-201 0 0 0 0 0 2
ENST00000420695 2 1 0 0 0 0
NCOR2-205 5 4 2 1 1 0
FBXO7-203 22 31 18 2 2 14
MTFR2-203 45 35 37 29 19 39
TMEM53-206 1.12805 13.36221 0 5.03964 1e-05 0
PRAME-207 0 0 0 0 0.30988 0
RPL37A-202 0 0 0 2 0 2
TFPT-204 10 9 8 2 0 1
PTPN18-204 2 2 0 0 0 0
OR51B5-205 1 0 0 0 0 0
