R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
KRT20-201 0 0 1 307 100 460
HSD17B10-201 3154 3011 2700 2503 2123 2825
ST6GAL1-201 7 8 5 11 4 19
TIMM21-201 502 542 522 195 127 247
MKRN2-201 135 143.13443 111.54563 70 35 62
GPATCH1-201 13 9 12 8 4 6
KEAP1-201 66.99998 101 61.88149 21 6 11
NGFR-201 0 0 0 1 0 0
ISOC1-201 241 291 203 270 141 224
KLF6-201 1 0 0 0 0 1
MNT-201 95 141 85 79 68 84
LAPTM4A-201 6578 7031 6510 4812 1993 4546
ASNS-201 31 30 19 24 5 13
PTPN18-201 2 1 0 0 4 3
ALDH3A2-201 434 384 390 175 92 203
STK10-201 16 17 10 4 2 7
ALPK1-201 3 0 0 1 0 1
MRPS34-201 205 296 224 211 185 256
CA12-201 32 45 26 0 0 1
MAP2K5-201 29 52 19 16 11 22
TIGAR-201 435 495 458 255 136 251
TSPAN32-201 0 0 0 1 1 2
TRAM2-201 15 24 15 4 4 4
NDUFB4-201 18070 15291 15394.20606 27770 12353 18462
HEATR6-201 18 7.2129 10 4 2 3
ERLEC1-201 277.99997 300.90746 296.99998 107.89276 56.99999 122.01911
TMEM38A-201 68 84 42 27 9 32
PVR-201 0 1 0 0 0 0
PSG6-201 0 1 0 0 0 0
ACTR6-201 163 164 199 117 53 120
SLC25A3-201 0 1.24538 0.00016 0 0.00019 10.43869
FAP-201 1 2 0 0 0 0
NFKB2-201 0 5 3.01502 0 0 0
OSBPL6-201 3 4 2 0 0 0
CCN5-201 308.45591 285.17543 251.72539 22.33827 11.08227 15.48583
CTSA-201 234 254 211 56 25 74
ANKRD16-201 1 3 1 0 0 0
BLTP3A-201 0 0 1 0 0 0
OSTM1-201 45.02007 65.02016 40.84122 13.80215 5 16.98737
ACTN1-201 700 981 718 165 96 232
DELE1-201 9 23 18 27 11 51
PCDHB4-201 3 0 4 0 1 1
PCDHB2-201 58 69 33 67 13 39
IFT25-201 897 757.38198 704.99999 930.99999 714.99999 858
STRADB-201 11.26305 136.33198 156.99999 101 36.04469 81.66589
PLOD1-201 217.08389 352.15163 337.43646 126.99999 28 105.21869
OXCT1-201 283 270 204 33 14 32
ZNF324-201 67 66 52 29 15 30
ZNF416-201 79 130 78 46 23 33
RPS5-201 111153.75093 108308.39484 101386.82294 143826.0288 89936.98379 135070.16049
FAM234B-201 0.97047 5 3 4 0 3
RRN3-201 64.94907 100.68802 62.52919 18.6061 5.86814 28.18742
CHERP-201 0 0 0 0 0.00057 0
DIMT1-201 614 770 596 615 233 464
EIF2AK1-201 235.34569 310.63471 197.7713 120.45398 62.41452 179.71675
EPDR1-201 137 219 154 1 1 2
MRPL28-201 1572 1733 1442 1983 1545 2314
HBQ1-201 0 0 0 1 5 12
CEACAM6-201 9 10 4 817 229 1077
RBM22-201 332 377 339 285 121 290
HSD17B2-201 0 0 0 15 6 11
MAP2-201 0 1 1 0 0 0
ZW10-201 64 63 63 46 19 62
PPP1R15A-201 156.5 158.64491 355.89548 130.06865 109.5 0.08396
TRIP6-201 458.30995 4e-05 71.14603 7.83522 297.36645 131.08398
LAMP2-201 157.22228 318.91421 409.61407 56.09996 83.77173 65.52065
SLC22A4-201 28 36 30 4 1 6
MT3-201 1 0 0 0 0 0
TFAP2C-201 18 16 14 4 2 6
SULT2B1-201 456 458 475 313 230 363
EPS8L1-201 4 16 7 13 17 30
