"","gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","TSPAN6",2765.3593771188,1.24752207659866,0.188312704678558,1.5657310083319e-11,9.78370025486475e-11
"2","DPM1",2289.60544581112,-0.72463181656068,0.200107089036816,0.00022487974632216,0.000538520593102127
"3","SCYL3",230.974966686806,-0.552447298577117,0.654019238187156,0.277336674559787,0.346860824035235
"4","FIRRM",163.395282009817,2.26289134671231,0.351693214429072,2.17863944667121e-11,1.34847544685638e-10
"5","CFH",258.559095569894,-1.34331697076463,0.200784412769159,8.67623722079956e-12,5.60528334208798e-11
"6","FUCA2",2137.33624728976,0.241650753942171,0.132905107563127,0.0669242465039942,0.0989843395730139
"7","GCLC",413.051901823343,-0.199092421330184,0.214808221363542,0.341800903069167,0.414567193458073
"8","NFYA",244.296551109064,-0.765783457307407,0.213544455652558,0.0002377421086671,0.00056697015392578
"9","STPG1",159.609791385047,-0.586294832863937,0.201576353406141,0.00294765201062447,0.00580276489594047
"10","NIPAL3",557.278244581763,0.339813408539277,0.155069412063278,0.026668182392042,0.0433148308348732
"11","LAS1L",1888.73407653331,1.08282902064332,0.13871868774285,3.166724066827e-15,2.90843674588739e-14
"12","ENPP4",35.4344860847046,1.61011687324076,0.378094308806688,6.04919308716311e-06,1.8600581657802e-05
"13","SEMA3F",10.2126723424685,-1.03524276244732,0.683303098620746,0.0558760565498624,0.0843404877262284
"14","ANKIB1",413.173536824886,-0.835102938761226,0.215011596567903,6.75148952750108e-05,0.00017694149413308
"15","CYP51A1",1343.05383236145,-0.727621565354356,0.153992845195274,1.69514457860956e-06,5.62288366475746e-06
"16","KRIT1",796.498583962702,-1.11861391283429,0.189239761283695,1.69027452714604e-09,8.39024232278589e-09
"17","RAD52",114.644398531632,0.396451771388033,0.226424038211261,0.0725359426869011,0.106346675664137
"18","BAD",1374.12362370253,0.988922484512193,0.205554138962425,8.71240981509262e-07,3.00418951933982e-06
