"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp"
"1","CRIP1-201",10186.4986087318,-9.55557878981674,0.244344916463618,0,0,"Downregulated"
"2","LCN2-201",27386.1043986295,8.97064421606624,0.170220641527809,0,0,"Upregulated"
"3","PDZK1IP1-201",8548.2788975201,8.20827161135765,0.213606198418084,0,0,"Upregulated"
"4","MT1E-201",28416.3259534306,-13.3613456685832,0.43642496416326,6.08167804069717e-205,3.40482745108431e-201,"Downregulated"
"5","IFITM2-205",6422.07501726795,-4.45885176742692,0.146524742328989,1.74344090793185e-204,7.80852313844517e-201,"Downregulated"
"6","DEFB4A-201",2310.97229364442,8.81429516239621,0.292591326106804,2.31989457311633e-199,8.6586198450612e-196,"Upregulated"
"7","VIM-201",7183.80611682911,-4.58950355070579,0.15857037515436,1.59735099984354e-185,5.11015404149946e-182,"Downregulated"
"8","CDK4-215",1481.70172201642,4.5161744699357,0.161972278430217,4.06934031573866e-172,1.13911008788314e-168,"Upregulated"
"9","ECH1-201",3365.54460533262,9.17963734415165,0.336406600305252,1.12026064576854e-164,2.78745743348229e-161,"Upregulated"
"10","HLA-A-202",1858.76960075537,8.17358035167656,0.300550791961439,1.9822860976097e-163,4.43913148698716e-160,"Upregulated"
"11","DHRS2-201",1960.70928749209,-6.71875716285825,0.25428331938574,1.33059448375141e-154,2.70884844264809e-151,"Downregulated"
"12","PLAAT4-201",15867.3117067953,5.45097192792588,0.208217638565241,2.02944238107968e-152,3.78727772349154e-149,"Upregulated"
"13","LANCL2-201",1567.77113542197,4.32684541876437,0.166237595030413,2.45074397315633e-150,4.22168927191253e-147,"Upregulated"
"14","CD63-214",3188.80641330226,7.27515332008374,0.280922739504419,3.4697313551829e-149,5.55008314056899e-146,"Upregulated"
"15","NAPSA-201",1090.05817148987,6.99690416551003,0.271317844588399,2.05428190617935e-147,3.06690593379869e-144,"Upregulated"
"16","ZNF880-202",1103.40661721787,-5.47062374860606,0.213509643308033,1.45212987144442e-146,2.03243727132039e-143,"Downregulated"
"17","SFTA2-201",16181.7928672647,13.9216425611629,0.536420765038815,4.16460566187084e-146,5.48601054070209e-143,"Upregulated"
"18","RPS9-203",1356.7966605132,-5.18738539669235,0.203764213892289,5.68526403331765e-145,7.07310015345085e-142,"Downregulated"
"19","PLAAT3-203",2822.59328904315,3.58910661599725,0.140731412837448,1.86288594176701e-144,2.19565619894371e-141,"Upregulated"
"20","SNU13-201",1560.50961587447,-7.15530742408145,0.279090149634778,5.80209347821711e-144,6.4966040675597e-141,"Downregulated"
"21","SAA1-201",1400.23839894826,5.56970983337858,0.219600575571024,4.4535386506677e-143,4.74916878776441e-140,"Upregulated"
"22","RPLP0-202",1031.45439183757,-5.09325871246934,0.202248126601983,5.61469485410542e-141,5.7152489346744e-138,"Downregulated"
"23","LCN2-208",1375.73429790362,9.048447768346,0.370516072427148,1.31359900831035e-131,1.27898853009139e-128,"Upregulated"
"24","GPX4-201",3293.97665642895,-10.0384034680294,0.410142815316487,2.62080636499442e-131,2.44543073907021e-128,"Downregulated"
"25","LY6D-201",1129.47215910749,8.55995514199189,0.356307064695504,9.66116715489301e-128,8.65408709066697e-125,"Upregulated"
"26","TSPAN31-201",2483.25317830497,3.62219297879281,0.155089300549864,1.2902267632707e-121,1.11128223602631e-118,"Upregulated"
"27","CTSA-204",1042.62154590264,5.76862992848004,0.250037057040517,7.12520391222294e-119,5.90969690408594e-116,"Upregulated"
"28","MRPL43-201",833.336513933443,4.38431712582076,0.194899996943229,3.25372126042205e-113,2.60227978235326e-110,"Upregulated"
"29","OTUD6B-AS1-201",712.217163544395,-4.13907314797239,0.187035908564441,1.3061272024567e-109,1.00860043351088e-106,"Downregulated"
"30","GAPDH-218",4169.77663440875,3.37419085488544,0.154563502222118,1.25456929778492e-106,9.36494161819847e-104,"Upregulated"
"31","FOLR1-202",1208.85789297644,9.58432799510106,0.443441205134509,1.80890140456526e-102,1.30672703399466e-99,"Upregulated"
"32","PLAAT4-203",560.481415093258,5.15558766583016,0.242704998454661,3.69393545815815e-101,2.5850622078123e-98,"Upregulated"
"33","S100P-201",1775.2504176034,3.78211223258004,0.179186811958406,6.09414463577598e-100,4.1355234840475e-97,"Upregulated"
"34","PPP1R14A-201",734.006032123944,7.1730504567487,0.342966138211581,6.34052312739533e-98,4.1761669092615e-95,"Upregulated"
"35","CD74-202",1999.30542317003,-4.43833533868799,0.213332197688,6.36533975071255e-97,4.07272623935591e-94,"Downregulated"
"36","HPGD-202",670.781031826576,5.27741191087424,0.255149755643845,4.36731206676375e-96,2.71671073397521e-93,"Upregulated"
"37","CDK4-202",358.762596567478,4.79869869089418,0.231926060401421,5.76289989396534e-96,3.48795622230973e-93,"Upregulated"
"38","CDKN2A-201",2657.47817864374,5.59242604730625,0.2721653823388,5.91032660876572e-95,3.48304879149209e-92,"Upregulated"
"39","H2BC5-201",1005.79220229333,-4.60730921395756,0.225247806586791,1.72925873383694e-94,9.92949232962678e-92,"Downregulated"
"40","RPL36A-210",2468.52986866979,-7.58616158360252,0.380737084629366,1.37171463668227e-89,7.67954439346571e-87,"Downregulated"
"41","AKR1B1-201",7827.38594047989,-2.65529701116884,0.133834333205401,2.2863020856355e-88,1.24876704648101e-85,"Downregulated"
"42","BANF1-208",694.469435437778,3.71918059079396,0.187793410384822,2.41327003104766e-88,1.2867325970305e-85,"Upregulated"
"43","TMEM205-210",1437.76734806235,4.21820947686694,0.215288399070683,1.39951674056519e-86,7.28855299725974e-84,"Upregulated"
"44","NTAQ1-201",866.110827737632,3.52515207591633,0.180567676173831,6.90706865040716e-86,3.51538398539132e-83,"Upregulated"
"45","CAPS-203",677.952537600612,-3.63035123976602,0.188971530006797,4.69685999982201e-83,2.33736628524476e-80,"Downregulated"
"46","TPM4-221",538.294600932973,-5.57504907751459,0.292375332514723,1.63928700788508e-81,7.98047679447358e-79,"Downregulated"
"47","AKR1A1-214",441.631823606214,4.020682697271,0.212370007319823,2.08934642766638e-81,9.95506891514064e-79,"Upregulated"
"48","DHRS3-205",1078.017354984,2.80133590397228,0.149193981875289,1.62148364176409e-79,7.56489680701357e-77,"Upregulated"
"49","SNHG5-225",12527.9874827407,-3.69581719233225,0.197880751819052,6.39087903917604e-79,2.92076214700629e-76,"Downregulated"
"50","SPSB2-206",480.396396222728,3.33543554058292,0.179663782782838,7.0418695613797e-78,3.15391253915074e-75,"Upregulated"
"51","HLA-H-210",354.782950938838,7.31223713256729,0.398367512357174,2.73065881887734e-75,1.19902693313606e-72,"Upregulated"
"52","CSTA-201",495.073794217917,-6.81297268891776,0.372031608820175,5.76920623847592e-75,2.48453085585442e-72,"Downregulated"
"53","GPX2-201",417.598565901662,3.32849235289508,0.18390668438395,3.764309432623e-74,1.59052727234263e-71,"Upregulated"
"54","KLK6-202",371.175217407193,4.02023646678635,0.223155712729214,1.69729650373198e-73,7.03875146381001e-71,"Upregulated"
"55","CDKN2A-214",6045.05852260709,3.23138090904545,0.181013223177621,4.90742409425039e-72,1.99812463939351e-69,"Upregulated"
"56","ENST00000721799",590.479135321111,-3.59445575879213,0.204062786264941,1.2460702643371e-70,4.9829459820652e-68,"Downregulated"
"57","ENST00000849948",509.541031197237,-5.82391001236936,0.330802533559418,3.5906815993236e-69,1.41069690763601e-66,"Downregulated"
"58","SRI-202",513.273155693248,4.38822962219541,0.251905423193843,4.04492232666195e-69,1.5617584583322e-66,"Upregulated"
