R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
TMEM132A 223 236.00001 239 193 256.99999 166
AP2B1 1818 1631.00001 1646.00001 1660 2268.00001 1275.00001
ZNF263 150 114.99999 150 125 141 102.99998
CX3CL1 1208.99999 962 1298 1219 1337 1181
SPATA20 1062.99999 969.99999 966.00001 2023.99999 1918.99999 2020.99999
CACNA1G 0 2 4 5 5 7
TNFRSF12A 10212 13129 12610.99999 10861 8423.00001 10279
DLX6 0 0 0 7 19 11
MAP3K9 214 187 209 389.00001 468 152.00001
RALA 5213.00001 5390.99998 5323.99999 2114.99999 1483.00001 1592
BAIAP2L1 2608.99999 2526 2621.00001 1666 1610.00001 1207.00001
KDM7A 100 59 76 41 21 14
ETV1 115.99999 85.99999 114.99999 50 91.99999 53.99999
AGK 504 404.99999 481.99999 277 169.99998 218.99998
ALDH3B1 1799 1906.00001 1818.99999 2551.99999 3274 2571
TTC22 79 57 69 84 59 74
PHTF2 348.00001 289.00002 270.99998 162.99999 108.99999 145.99998
CCL26 240 219 197 312 247 257
FARP2 288 261.99999 249.00001 380 384.00001 233
USH1C 13 8 8 121 148 149
GGCT 5616 4945.99999 4910 3118 2134 2598.99998
DBF4 1032.99999 985 887.00001 396 356 346.00001
TBXA2R 45 65 43 7 2 4
IFRD1 1903 2311 2236 1055 679 975.99998
COX10 506.00001 471 500 410 396 346.00001
GTF2IRD1 278.00002 267.00001 304 258.99999 380.00001 202.99999
PAF1 470.00002 450.99999 422 1244.00001 1343.00001 1231.99999
VPS41 1901.99999 2091 2030.00001 895.99999 801 592.99999
ARHGAP44 40 47.00001 61 34.99999 27 16
ELAC2 769.00001 886.99997 731.00001 924.99999 1490 897.99999
SCIN 172 170.99999 147.00001 62 42 30
ARSD 674 619.00001 581.00001 1367 1645.00001 936
PNPLA4 1728.99998 1658.00001 1636 2651 1469 2351.00001
MYH13 1 0 3 0 0 0
ADIPOR2 472 442 383.00001 536.00001 502.00001 392.00001
CDKL3 177 139 156 61.99999 35 47.99999
UPP2 0 6 4 3 1 2
PRSS21 2009 1950.00001 1799.99999 3209 2713.99999 3211
MARK4 77 52 55 269.00001 454 249
PROM1 1 0 0 0 0 1
CCDC124 3345 3350.00002 3100.99999 6053 5706.99999 6328.99999
PAFAH1B1 1852 1942.99999 1762 1488 1817.00001 1263.99999
DNAH9 2 1 6 0 0 0
BLTP2 402 442 429 412 718.00001 313.00001
SLC13A2 0 0 0 0 0 0.99999
GAS7 6 8 12 0 3 2
TRAPPC6A 1239 1256.00001 1205 1732.00001 1713 1529.00001
MATK 29 30 42 4 12 1
CEACAM7 3 1 1 8 0 6
CD79B 0 2 1 1.99999 0 0
SCN4A 11 11 8 0 0 0
ST7L 376.00003 367 392.00001 420.00002 325.00001 338
TKTL1 1 0 1 0 0 0
PAX6 0 0 0 6 0 2
RPUSD1 330.00001 354 383.00002 545 692 546
RHBDF1 152.99999 100 100 105.99998 168.99999 89
LUC7L 919.00002 792.99999 859.99999 702.99998 573.99999 593.99999
CACNA2D2 4.99996 14.99999 12.00003 27 5.99999 14
BAIAP3 31.00001 22 35.00002 178.99999 268 158
TSR3 578.00001 567 461 428.99999 856 335
PIGQ 267.99998 252 234 210.99999 320 255.00001
CRAMP1 101 100 115 92 118.99999 34
TEAD3 197 201 144 246.00001 294 187
DNAJC11 639 606.00001 541.99999 650.00001 648 605.00001
MYLIP 183 189.00001 148.99999 169.00001 169.00001 122
NOX1 16 15 22 19 15 17
E2F2 26 20 11 48 52 30
PSMB1 10057 9577.99999 8601 9920.00001 6364 8154
SYN1 22.99999 44 21 2 2 0
JARID2 248 187 190.99999 141.99999 155 62
CDKL5 93 67 68 53 36 20
CAMK1G 1 0 0 1 0 1
CDK11A 1023.99999 748.99999 769 629.00001 673.00001 337
NADK 296.00001 304 345 303.00001 433.00001 292.99998
TFAP2B 1 0 0 0 0 0
TFAP2D 0 0 0 1 0 0
DLEC1 12 20 14 11 12 8
CYTH3 278 274 304 273 311 182
ADAM22 2.99999 1 0 19 23 22
SYPL1 3648.99999 3455.00001 3249 1468 810 1085
CYB561 1932 1695 1684.00001 1459.00001 1404.99999 1168.99999
SPAG9 624 553.00001 621.00001 356 481 214
CELSR3 155 107 119 54 48 46
AASS 24 31.99999 22 15 14 12
PLEKHG6 43 54 38 189.99999 221.99998 157
SS18L2 2468 2083 2109 1309 1084 1350
MPND 169 148 134.00001 382.00001 698 370
MGST1 20090.99999 17951.00002 17992.99997 25952 13784.00001 21167.00001
CRY1 1104 1256 1153.00001 756.00001 457 590
NFIX 502.99999 373 404 25 38 22
ST3GAL1 441.99999 346 316.99999 1045.99999 815.00002 918
MMP25 2 5 11 2 3 1
IL32 680.00001 701.99999 697.00001 100 82.99998 75
PKD1 86.00001 130 108 66 47 53
MAPK8IP2 112 97.99999 121 114.99999 178 79
MED24 558 461.00001 496 781 1105 700.99998
RHOBTB2 182.00001 182 178 302.99999 372 275
HEATR5B 139 102 96 72 66.00001 50.99999
SEC62 10187.99997 7926.00002 9218.99999 5081 3747 3203.99999
RPS20 91648.00001 71052 68822.99997 83128.00001 44897.00003 55806
CSDE1 2071.00002 1798.00001 1821.00003 3086.99997 2520 2264.99998
UBE3C 1208.99999 917.00001 1124.00001 596.00001 533 421.99999
REV3L 100 86 91.99999 40 61 49
TENM1 4 0 0 7 2 3
MASP2 7 2 7.99999 1 6 0
IYD 1 1 2 31.00001 7 15.00001
FAM76A 96.99999 104 101 77 66 56
TRAF3IP3 4 2 1 1 2 1
POMT2 267 282.99999 258 172 204 151
VTA1 900.00001 807.99999 739 636.00001 370 503
MLXIPL 32 41.00001 39.00001 16 21.00001 17.99999
BAZ1B 2586 1884 2354 1261 1085 703
RANBP9 148.99999 113 123 126 78.99999 83
ETV7 96.99999 88.99999 98 27 5 23
SPRTN 371 374.99998 347 118.00001 80 81
METTL13 416 410.00001 375 538 491.99999 497.00001
DYRK4 619 559.00001 582 606 321 501
ZNF207 2837.00001 2930.99999 2879 2339.00001 1599 2135
UQCRC1 10665 10479.00001 10037.99999 10073.99999 10703.99997 11224
STARD3NL 2341.99998 2185 1971 952.99999 462.00001 829
CD9 12187.00001 9935 10258.00002 12778 7575.99999 10595.99999
NCAPD2 576 484.00001 488.00001 1319 2139.99999 1129
IFFO1 25 33.00001 19 54 49 46
GIPR 37 47 31.99999 9 11 15
PHF7 138 126 117 44 35.00001 36
SEMA3G 16 26 44 63 65 56
NISCH 270 172 213 250.99999 340.00001 227
STAB1 0 1 0 0 2 0
FUZ 96.99998 84 87 59.99999 124.99998 88.00001
SLC6A13 0 3 0 3 0 2
IDS 4010.00001 3379.99999 3359 2993.99999 2275.99999 2619
PRSS3 1049 937 846.99999 2827 2075 2606
ZNF200 348.99999 263.99999 323 152 106 138
CD4 0 0 1 0 0 0
LRRC23 298.00001 320.99999 291.99999 401 337 394
BTK 0 1 1.00002 0 0 3.00006
HFE 169.00001 153 149.99999 31 22 19
SCMH1 295.00001 229 269 537.99999 407 447
FYN 203.00001 150.99998 163.00001 182.99993 174 108
HIVEP2 95.00001 70 92.99999 63 39 34.99999
FMO1 2 0 1 4 1 2
ELOA 700 718.99999 645 524 458 375
LYPLA2 2457.00001 2374.00001 2175 3263 2367 3306.99999
CLCN6 62 74 67 65.00001 55.99999 66.99999
MRC2 512 435 477 125 278 94
NME1-NME2 228 241 232 241 165 209
SLC6A7 0 0 0 0 0 2
TSPAN9 297.99999 250 269 233.99999 202.99999 195
BTBD7 438.00001 365 354.99999 249 325 156.00001
APBA3 189.00001 192.99999 192 104 195 128.00001
MKS1 460.99998 430.99999 418.99999 354.00001 302 346.00001
ABHD5 1003.99998 932 833 312.00001 183.99999 245.99999
ANOS1 17 15 16.00001 71 47 55
AKAP8L 308.00001 312 283.00001 291 383 322
MBTD1 71.99999 59.00001 80 83 104.99999 50.00001
UTP18 845.99999 931.00001 935.00001 1036 884 860
RNF216 1700 1076 1188 996 723 654
TTC19 450.99999 422.99999 426 579.00001 533 518
PTBP1 8709 4708 6913 13211 15392.00003 10991.99998
DPF1 33 29 28.99999 25.99999 52 26
SYT7 211.99999 179.99999 180 154 201 91
LARS2 246 241.00001 226 166.00002 134 103.99999
PIK3C2A 260 205 247.99999 112 183 91.99999
PLAUR 2736 2584.99999 2509 2469 1752.99999 2449
ANLN 474 407 352 213 266.99999 145
WIZ 254 172 216.99996 225 336.00001 156.99998
RABGAP1 251 215 240 184.99999 219.00001 123.99999
QPCTL 250.99999 234 236 443 350 359
PPP5C 252 289 270 209 244 271.00001
CEP68 418 350 387.99998 230.00002 197 188.99999
MAP4K3 252.00001 258.00001 276 150.00001 112 118
ZBTB32 0 0 0 0 0 1
TYROBP 1 3 0 0 3 0
LDAF1 2964.99999 2781.99999 2664.00001 1360 787 1034.00001
GABRA3 0 0 0 38 52 43.00001
BRCA1 464.00003 454.00002 417.00001 196.00001 175.00001 185.99999
ERCC1 774.99999 766.99999 750.00002 3017.99999 2550.00001 3038.99999
CD22 41.99999 26 25.99999 197.99999 132.99998 198
SEMA3B 178 243 205 142.00001 245 114.99999
MBTPS2 286 278.00001 256 84 73 79.00001
PRICKLE3 429 432.99999 404 338.00001 386.99999 230.99999
LTF 1 2 3 0 0 0
EXTL3 254 234.00001 248.00002 211.00001 248.99999 153.99999
NR1H4 2 5 1 1 2 2
ELOVL5 1067 972.99999 897.00001 1172 774 918.99999
ALOX5 11 7 16 202.99999 126 200.99999
CALCOCO1 386.00002 311.00001 290 299 285.00001 317.99999
UBR7 899.00001 685 696 206 170 198.99999
MAP4K5 267 238 241.00001 182.99999 175.99999 139.99999
EHD3 10 16 15 26.00001 39 33
PSMC4 1772.00001 1726 1529.00001 2997 2375 2993
MAN2B2 203.99999 180 167 199.99999 180 143
CLDN11 38 44 36 1 3 1
SLC25A39 6184 7141.99999 5701.00001 5699 5621.00001 5594.99999
MVP 2408.99999 2242.99999 2142.99999 1950 2969 2175
NUB1 1449.99998 1231.00001 1307.99998 1022 856 792
PGM3 488 517 487 192.00002 146 167
RWDD2A 132 162 162 96 55 91
CLK1 284.99999 328.00001 325 324.00001 218.99999 316.99999
POLR3B 99 87 121.00001 151 84.00001 93
ANGEL1 441 461 446 413 513 317
RNF14 773.00001 655.00001 729 251 171.99999 227
DNASE1L1 721.99999 696 718 627.00001 470 569.00001
DDX11 249.99999 197.99999 223 685.99997 975 621.99998
HEBP1 1031 1077.00001 977.00001 1703.99999 1342 1391.99999
GPRC5A 1592.99999 1239 1328.00002 3139.99999 2860.99999 2457.99999
MAMLD1 30 29 22.99999 70.00001 91.99998 97
CD6 0 1 0 4 0 1
TACC3 804.00001 654 671 1114 1453 822
UFL1 636 543 596 304 239 273
POLA2 224.99999 183.99999 139 225.99999 272 243
ZC3H3 130 109 83 164 274 132
CAPN1 3532.00001 3099 3124 3841 4813 4460
ACP3 148 857 937 60 32 46
MDH1 6545.00003 6107.99999 5939 4989.00001 3014.00003 4520
SLC30A9 1070.00001 989 996 549 393 450.99999
MTMR11 115 103.00001 137 59 57 60
COX15 999 1004 888 791 554.00001 616
CCDC88C 224 152 152.99999 204.00001 172 126
YAF2 837.99999 662.99999 729.99999 668.99999 613.99998 296.99999
ZMYND11 504.99999 402.99998 443.99999 128.99999 99 93
WAS 5 4 8 2 4 1
DPEP1 1 1 2 22 12 26.99999
BID 755 754.00001 738.99999 247 123 161.00001
MATR3 2203.00002 1639.99999 1797.00002 1130 967.99999 977.00001
NPC1L1 3 2 4 1 0 1
XYLT2 240 198 232 398 458.99999 257
RGPD5 96.99999 63 75 65 52 47
NUDCD3 1570 1317 1424 1040.00001 1484 1017
ISL1 2 0 0 1 0 0
CHDH 77.99999 40 51 112.99999 146 72.99999
IL20RA 8 7 13 2 7.00002 1.00002
GLT8D1 679.99999 754.00001 663 232.99999 154 204
ATP2C1 666 503 575 264.00001 199 220.00001
IGF1 10 6 9 93 68 66
SLC38A5 24 19.99999 16.00001 0 2 0.99999
RALBP1 2821 1995 1782.99999 1502.00001 1232 852.00001
RUFY3 190.99998 140 151.99999 162 114 82
CNTN1 3.99999 12 11.99999 96.00001 59.99999 61.99998
SLC11A1 130 116 121 69 65 50
WWTR1 1659.99999 1535.99999 1605.99999 891 710.00001 758
AGPS 1456.00001 1192 1326.99999 983 687 723.00001
STEEP1 833 650 709 1042.00001 861 697
ATP1A2 8 7 10.00001 4 6 4
TTC27 401 388 392 215 217 182
ZNF582 437 415 345.99999 33 13 37
VSIG2 14 3 2 3.00001 3 1
PHLDB1 475.99999 360.99998 388 364 641.99997 303.99997
MARCO 3.00002 6.99998 4 11 1.99994 6
CYP24A1 826 642 770 255 183 265.99999
PRDM11 35 19 26 16 25.99999 13
SYT13 0 0 1 39 34 46
SNAI2 500 545 468 98 63 67
CD74 7568 7536 7694.99999 246 134 308
HGF 1 0 0 30 27 26
ZRANB1 144 105 123 57 96 36
NCDN 211 184 215 126 188 109
ADGRA2 4.99998 1.99998 2.00002 4 2 6
ZFP64 409 367 333 285 221.99999 206.99999
MNAT1 3676 3296 3439.99999 1491.00001 1125 1212
SAMD4A 187 164 189 160 178 80
RUNX3 1 2 0 0 0 0
MRE11 450 397.00001 386.99999 475.00001 433.99999 329.99999
PLEKHB1 198 216 214 513 390.99999 517
SERPINB1 5148.99999 4792.00001 5047 7896.99999 4583 6620
CYP3A43 0 1 0 0 0 1
SLC7A9 0 2 1.00002 2.00002 0 6
SPAST 230 215.00001 230 143.00001 129.99999 100.99999
NRXN3 1 2 1 3 1 2
OSBPL5 70.00001 73.99999 62.99999 83.99999 128.99999 66
AQR 325 261.99999 342 226 300 166
CPS1 72 49.99999 57.99998 4.99998 4.99998 1.00002
FHL1 184.99999 173 151.99999 37.99999 26 28
RTF2 4345 4271 3875.99999 3736.99999 2546.00002 3294.99999
NLRP2 3 1 0 3 4 0
SLC45A4 30 17 30 43 50 40
RNF10 712 706.99999 659 812 1120.99999 723.99999
ZNF839 88.00001 90 80.99999 54 52 43
ZDHHC6 899.00002 758.00002 733.99999 179.00001 99 161.00001
GRAMD1B 21 36.00001 26 2 2 3
RNH1 4454.99998 4169.99999 4346.00001 4894.99996 4439.99998 5619
NDUFS1 2758.99999 3271 3234.99999 2649.99999 1791.99999 2317.00001
RB1CC1 928 493.99999 693 397 359 267
ERP44 3028.00001 2817.00001 2815.00002 1972.99999 1015 1629
ALAS1 1167.00001 1166.00002 1108.00001 1277.00001 1124.99999 1423.99997
BIRC3 157 128.00001 166 589 306 390
AKAP11 179.00001 119.99999 122.00001 147 121.99999 87.00001
GLRX2 1148 1345 1230 925 547 639
SNAPC1 2531 2407 2496.99999 713 443 535
DERA 1742.00001 1621.00001 1505 2874.99999 1808.00001 2318
STRAP 3932 3805 3330 4218.00001 2205 3401
ABCC2 10.00001 3 7 358.00001 295.00001 207
DEF6 179 197 188.00001 145.99998 202 180.99999
PLEKHO1 174 131 146 55 79 44
GCLM 228 173 172 225 257 112
UBR2 259 222 285 178 106 122
EHD2 3270.99999 2649.00001 3187.99999 2461 4499.99999 2216.99999
DEPDC1 312.00001 303 264.00001 442 389 402
CCDC28A 653 615 618 441 258 342
RRAGD 50 36 49 45 46 40
HSF2 142 139 130 84 42 71
PHF20 2248 1796 1805.99999 1585.00001 1159.99999 984.99999
HSD17B6 377.99999 338.99999 401.99999 29.99999 10 18
NR1H3 327.00002 315.99998 323.99999 363 321.99999 366.99999
TYMP 868 1080.00001 1081.00001 337.99998 463.00002 348
NCAPH2 462.99999 442 385 595.99998 1792.99999 613.00001
TOMM34 1535.00001 1744 1528.00001 1790.00001 1380.00001 1970
SEC63 1109.99999 1077.00001 974 557 564.00002 478.99999
KPNA6 881 765 767 934 786 465
VIM 30869 29588.00001 28830.00001 981.00001 954 736.00001
RTEL1-TNFRSF6B 100 49 91 114 2 82.00001
FAS 269.00001 307 317.99999 56 22 46.00001
RNASET2 563.99999 756 610 625.00001 659 565.99999
CD44 5273.00002 4817.00002 4544.00001 2030 1813.00001 1814.00003
KCNG1 1 3 3 2 0 1
AGPAT4 209 177 187 134 116 97
SLAMF7 150.99999 142.00002 153 299.99999 225.99999 256.00002
BTN3A1 193 157 170 153.99999 96 93
MIPEP 695.99999 572.99999 623.99999 506 518.99999 535.99999
PRKCH 284 252 229.00001 181 154 142
IFNGR1 1153 1170.00001 1267.00001 307 137.99999 263
B4GALT7 307.99999 344 319 377 440 391.99999
SH2D2A 81 70.00001 73.00002 25 33 41.99998
VRK2 740 745 734.00001 615.99999 385.00001 499.00001
TNFRSF1B 17 11 6 45.00002 50.99999 39.99999
VEZT 1197 1350 1414.00001 1581 780 1473.00001
POU2F2 1 7 0 12 17 9
BRD9 1268.00001 939.00001 1000 1382 1385.00001 717.00001
SNX1 1020.99999 915 897 647.99999 609.99998 601
TBPL1 734 746.00001 672.00001 514 234 377
BMAL2 275.00001 242.00001 225.99999 326.00001 279 199.99999
BCLAF1 846 750 741 438.99999 540 352.00001
SLC39A9 911.99999 763.99999 783 304.99999 186 195
ANK1 48 32 39 0 2 0
IBSP 0 0 0 75 43 48
TFB1M 667 660.00001 687 1250.00001 760 1126
RABEP1 1812.00001 1668.00001 1577.00001 929.00001 471.99999 512
HMGB3 4613.00001 3453.00001 3107.00001 5207.99999 3792.99999 4727
NUP160 424 525.99998 467.00001 370.99998 286.00001 256.99998
BAK1 637.00001 641 590 615 478 711
MUSK 0 1 1 0 0 0
IKZF2 50 39 48.99999 37 56 15.99999
GRN 19017.00001 16363.00001 16569 8867 6741 9432
FAM13B 157 135 161 52 42.00001 47
ARHGAP31 127 87 86 6 0 3
CENPQ 175 123 125.99999 131 101 94
SARS1 4871 4574.99999 4372 11241.00002 9824.00001 11179.00001
RANBP3 412.99998 403.00001 327.99999 252 339.99999 274.00001
ARID4A 533.99999 436.00001 473.00001 224 169 142.99999
EIPR1 1137.99999 1184 1187.00001 1078.99999 722.00001 1052.00001
PNPLA6 726 615 726.99999 614.99999 1216 693.99999
IFT88 293.99999 255 304.99999 112.00001 93 82.99999
ALG1 634 747 627 562.00002 715 664.00001
ZCCHC8 309 295 289 246.99999 173 193
ABCF2 1621.99999 1502 1426.00001 1339.00001 1520.00001 1514.99999
CHPF2 594.99999 633.99999 609 328 350 256.00001
LRRC7 0 0 5 1 0 0
FUT8 946 716 690 408.99998 384 318.99999
UBA6 628.99999 561 696.00001 172 139.00001 110
GAB2 32 21 34 246 361 181
ATP6V0A1 317.99999 241 277.99999 357.00002 586.99999 300.00002
PIAS1 294 268 255.99999 155 102 111
SLC4A7 332.99998 300.99999 369 113.99998 121.99999 73.99998
APBA2 4 7 6 22.99993 24.00001 4.99999
MAP2K3 721 689 650.00001 1402.99999 1564 1144
CLXN 0 0 0 29 14 31
TMSB10 436603.00001 402605.00001 386080.99999 502517.00001 387102.00001 370574.00001
ASTE1 484.99999 558 605.00001 333 234.99999 303.00002
RNF19A 253.99999 241 254.00001 56 75.99999 37.99999
PEX3 648 634 603.99999 409.00001 215.00001 425
GABARAPL2 9091 6921 7414.00001 7073 4410 6125
MYOC 1 0 0 0 0 0
SH3YL1 1467 1389 1227.99998 2577.99998 1646 2046
FAM136A 2853.00001 2632 2371.00001 3867 3038.99999 3071
VCL 1348.00001 1144 1125.00001 1027.99999 1127 791.00001
DEPDC1B 232.00001 173 151 310 148 234
DAPK2 30 27.00001 27 40 39.00001 35
NSMAF 237.99998 212 198 465.99999 284.99999 325.00001
ADSS2 1137 1146 1131 677 662 613
STAP1 1 0 0 0 0 0
TIMP2 739 554 617.99999 914 1736 627
RFC1 1661.00001 1486 1668.99999 1260.99999 931 837
TBC1D23 413.00002 336.99999 375 125 123.99999 115
CUL3 364 244 314 289.99999 275 189.00001
MYOM2 0 2.99999 0 63 33 32.00005
OTC 2 7 9 3 2 0
CYP46A1 9 7 5 0 0 2
ZZZ3 310.99999 292.99999 313.99999 298 365 290
USP2 23 27 19 30 40 17
TUBG2 297.00001 267 252.00001 334 226.00001 342.00001
RPL26L1 5553.99999 4749.99999 4696.00001 3151.00002 1817.00001 2647
NSUN2 2402.00001 1323 1735.99999 1066.00001 814 935
FBXO42 161.99999 167.99999 159.99998 170 128.99999 170.99999
MFAP3 146.99998 159.99999 156 79 37 49
MRI1 354 375.00001 373 359.00001 518 417
METTL1 1403 1485 1437.99999 1745 1209 1691
HOXC8 38 51 43 27 35 16
AGA 1517 1498 1386 323 185 276
PI4K2B 217 240 225 96 122 79
